# These are MACS! To convert to reaction rate, just multiply by v_T = sqrt(2*kT/mu), where mu is the reduced mass, and kT is the column header.
Isotope,5keV,10keV,15keV,20keV,25keV,30keV,Error,40keV,50keV,60keV,80keV,100keV
1H,0.87,0.53,0.40,0.33,0.285,0.254,0.020,0.215,0.193,0.178,0.162,0.153
3He,,,,,,0.0076,0.0006,,,,,
7Li,0.102,0.072,0.059,0.051,0.046,0.042,0.004,0.038,0.035,0.033,0.031,0.030
12C,0.0126,0.0125,0.013,0.0139,0.0147,0.0154,0.001,0.0169,0.0183,0.0196,0.022,0.024
13C,0.0073,0.0081,0.0093,0.012,0.016,0.021,0.004,0.032,0.041,0.046,0.050,0.050
14C,0.0037,0.0026,0.0021,0.0019,0.0017,0.0015,0.0004,0.0013,0.0012,0.0011,0.00093,0.00083
14N,0.183,0.101,0.071,0.057,0.046,0.041,0.06,0.033,0.027,0.022,0.019,0.016
15N,0.0025,0.0035,0.0042,0.0048,0.0053,0.0058,0.0005,0.0065,0.0072,0.0078,0.0087,0.0097
16O,0.016,0.022,0.027,0.031,0.035,0.038,0.004,0.044,.049,0.054,0.062,0.069
18O,0.0037,0.0051,0.0061,0.0070,0.00793,0.0089,0.0008,0.0108,0.0130,0.0157,0.0223,0.0293
19F,2.0,6.7,7.8,7.4,6.6,5.8,1.2,4.6,3.8,3.2,2.5,2.2
20Ne,0.088,0.062,0.053,0.060,0.084,0.119,0.011,0.191,0.242,0.259,0.272,0.253
21Ne,,,,1.7,1.6,1.5,0.9,1.3,1.2,,,
22Ne,0.221,0.133,0.103,0.088,0.074,0.059,0.006,0.059,0.044,0.044,0.044,0.04
23Na,1.4,5.2,3.4,2.7,2.2,2.1,0.2,1.7,1.5,1.4,1.3,1.2
24Mg,0.11,0.48,1.3,2.3,2.9,3.3,0.4,3.6,3.4,3.1,2.7,2.1
25Mg,4.8,5.0,5.5,6.0,6.2,6.4,0.4,6.2,5.7,5.3,4.4,3.6
26Mg,0.103,0.091,0.098,0.110,0.119,0.126,0.009,0.143,0.161,0.165,0.226,0.265
26Al,10,7,5.6,4.7,4.1,3.7,,3.1,2.6,2.3,1.9,1.6
27Al,11.2,6.8,5.4,4.6,4.1,3.74,0.3,3.3,3.0,2.8,2.5,2.3
28Si,0.29,0.86,1.9,2.5,2.8,2.9,0.3,2.8,2.7,2.5,2.2,1.9
29Si,10.3,14.4,13.3,11.3,9.5,7.9,0.9,5.8,4.4,3.4,2.3,1.7
30Si,124,43,22,13,8.8,6.5,0.6,3.8,2.6,1.9,1.3,0.96
31P,0.8,1.8,2.0,1.9,1.8,1.74,0.09,1.7,1.7,1.9,1.9,1.9
32S,1.3,3.0,3.7,4.0,4.1,4.1,0.2,4.0,3.8,3.6,3.3,2.9
33S,6.3,11,10,9.3,8.2,7.4,1.5,6.2,5.3,4.7,3.9,3.4
34S,0.367,0.256,0.213,0.204,0.212,0.226,0.010,0.250,0.262,0.267,0.269,0.265
36S,0.42,0.30,0.24,0.21,0.19,0.171,0.014,0.15,0.13,0.12,0.11,0.094
35Cl,26.0,22.3,17.6,14.1,11.7,10.0,0.3,7.9,6.6,5.8,4.8,4.1
36Cl,39,25,19,16,14,12,1,9.8,8.4,7.4,6.0,5.2
37Cl,6.95,4.94,3.72,2.99,2.50,2.15,0.08,1.66,1.34,1.12,0.8,0.6
36Ar,23.7,17.2,13.8,11.6,10.1,9.0,1.5,7.5,6.5,5.8,4.9,4.3
38Ar,10.6,6.5,4.8,3.9,3.4,3.0,0.3,2.5,2.2,2.0,1.8,1.6
39Ar,35,20,14,11,9.3,8.0,2.0,6.4,5.3,4.6,3.8,3.2
40Ar,2.9,2.7,2.5,2.5,2.6,2.6,0.2,2.6,2.6,2.5,,
39K,24.2,20.2,17.1,14.8,13.1,11.8,0.4,9.8,8.5,7.5,6.1,5.1
40K,130,74,54,43,36,31,7,24,20,17,13,11
41K,88.0,49.3,35.7,28.8,24.7,22.0,0.7,18.7,16.7,15.3,13.5,12.1
40Ca,11.3,12.1,10.3,8.6,7.5,6.7,0.7,5.8,5.4,5.2,4.9,4.9
41Ca,111,65,49,40,34,30,7,24,21,18,15,13
42Ca,30.3,25.9,21.6,18.9,17.0,15.6,2,13.7,12.3,11.3,9.4,8.0
43Ca,230,129,92.4,72.4,59.7,51,6,39.8,33.2,28.8,23.7,20.9
44Ca,9.9,13.4,12.5,11.2,10.2,9.4,1.3,8.1,7.1,6.2,5.0,4.2
45Ca,71,41,30,24,20,17.5,3.5,14.0,11.8,10.1,8.1,6.7
46Ca,7.2,8.6,8.0,7.0,6.1,5.3,0.5,4.2,3.5,3.0,2.4,2.0
48Ca,2.13,1.50,1.23,1.06,0.95,0.87,0.09,0.75,0.67,0.61,0.53,0.47
45Sc,226,154,116,95,80,69,5,54,44,38,31,27
46Ti,29.9,33.8,31.3,29.0,27.8,26.8,3.2,24.7,22.3,20.4,17.3,15.2
47Ti,213,146,111,89.6,74.9,64.4,7.7,50.5,42.3,37.0,30.8,27.4
48Ti,42.6,62.6,54.8,45.3,37.7,31.8,5.5,24.1,19.5,16.4,12.9,11.0
49Ti,52.1,38.2,32.4,28.1,24.8,22.1,2.1,18.2,15.7,14.0,11.9,10.8
50Ti,2.0,2.3,2.7,3.2,3.5,3.6,0.4,3.5,3.2,2.9,2.4,2.0
50V,233,113,81,66,56,50,9,41,36,32,26,22
51V,226,123,80,58,46,38,4,29,24,21,18,17
50Cr,229,125,87,68,57,49,13,39,33,29,23,19
51Cr,438,206,146,117,99,87,16,72,62,55,46,40
52Cr,10.3,8.9,9.1,9.1,8.9,8.8,2.3,8.5,8.1,7.8,7.1,6.6
53Cr,350,187,121,88,70,58,10,45,36,31,27,19
54Cr,16.0,13.7,10.8,8.0,7.2,6.7,1.6,6.2,5.4,5.1,4.5,4.2
55Mn,251,113,74,57,47,39.6,3,31,26,24,19,17
54Fe,111,75.7,52.5,39.9,32.4,27.6,1.8,22.3,19.5,17.9,16.2,15.3
55Fe,367,175,124,100,85,75,12,62,54,48,40,35
56Fe,11.8,9.73,10.8,11.5,11.7,11.7,0.5,11.3,10.6,9.97,8.63,7.42
57Fe,124,86,67,54,46,40,4,32,26,23,19,16
58Fe,27,21,17,15,13,12.1,1.3,11,9.8,9.3,8.6,8.2
59Co,110,82,63,52,44,38,4,32,27,22,12,8
58Ni,39.8,52.0,49.9,46.2,42.9,41,2,36.3,33.5,31.3,28,25.3
59Ni,405,199,143,115,99,87,14,72,62,56,46,40
60Ni,79,70,57,46,41,30,3,28,27,24,21,20
61Ni,265,177,135,111,94,82,8,66,56,50,42,37
62Ni,69,33,22,17,14,12.5,4,10,9.2,8.5,7.7,7.1
63Ni,112,66,50,41,35,31,6,25,20,17,13,10
64Ni,12.8,14.8,13.1,11.2,9.8,8.7,0.9,7.4,6.6,6.1,5.5,5.2
63Cu,331,182,136,114,102,94,10,83,79,76,66,58
65Cu,152,79,58,49,44,41,4,37,33,31,27,25
64Zn,139,108,88,75,66,59,5,52,47,44,40,38
65Zn,512,314,246,207,181,162,27,135,118,104,87,75
66Zn,84,69,55,45,39,35,3,30,28,26,25,24
67Zn,503,318,243,200,172,153,15,126,109,97,82,71
68Zn,93,48,33,26,22,19.2,2.4,16,14,13,12,11
70Zn,57,38,30,26.3,23.5,21.5,2.0,18.7,16.9,15.5,13.7,12.5
69Ga,331,238,197,174,153,139,6,121,113,102,87,79
71Ga,398,249,191,159,138,123,8,103,90,81,69,60
70Ge,201,145,121,106,97,88,5,75,69,63,55,49
72Ge,199,133,106,91,80,73,7,63,57,52,47,43
73Ge,772,497,385,319,275,243,47,198,169,148,119,101
74Ge,149,99,78,66,58,53,7,46,41,37,33,31
76Ge,89,61,48,41,36,33,15,28,25,23,20,19
75As,1790,1137,878,732,635,568,35,478,418,389,331,273
74Se,677,466,378,327,292,267,25,232,209,192,170,156
76Se,363,285,235,202,178,164,8,144,131,123,114,109
77Se,999,695,582,510,458,418,71,360,319,287,240,205
78Se,290,197,158,135,120,109,41,94,84,77,68,63
79Se,741,496,394,334,293,263,46,220,191,169,138,117
80Se,116,79,62,54,47,42,3,36,32,29,25,22
