# Reference: (J,PR/C,100,034601,2019)
E,sigma,d_sigma
1590.0,0.57,0.03
1902.0,0.43,0.03
2202.0,3.93,0.24
2235.0,5.13,0.3
2281.0,5.82,0.34
2346.0,3.07,0.18
2509.0,1.14,0.07
2510.0,1.13,0.07
2624.0,1.49,0.1
2625.0,1.58,0.1
2721.0,2.59,0.15
2762.0,3.15,0.18
2864.0,6.86,0.4
2993.0,11.84,0.7
3118.0,7.35,0.43
3271.0,5.57,0.33
3393.0,4.49,0.26
3560.0,7.31,0.42
3706.0,8.76,0.5
3707.0,8.45,0.49
3807.0,8.17,0.47
3883.0,9.45,0.54
3985.0,8.44,0.5
4083.0,8.78,0.52
4159.0,10.04,0.59
4208.0,11.09,0.64
4263.0,15.9,0.92
4318.0,17.94,1.02
4400.0,17.61,1.01
4510.0,19.64,1.12
4630.0,22.7,1.25
4709.0,14.84,0.88
4768.0,14.79,0.89
4840.0,9.31,0.55
4905.0,9.63,0.55
4909.0,8.37,0.48
