# Reference: (J,NIM/B,51,1,1990)
E,sigma,d_sigma
0.48,12.2,
0.58,30.3,
0.68,49.9,
0.77,72.6,
0.88,77.8,
0.98,96.3,
1.07,116.4,11.8
1.17,129.9,6.1
1.27,137.5,8.7
1.38,155.2,9.1
1.48,161.6,6.1
1.58,181.2,6.4
1.69,179.3,9.5
1.79,186.0,9.1
1.89,191.3,14.4
1.99,200.3,10.2
2.08,228.3,
2.09,221.1,7.6
2.2,196.7,9.5
2.29,231.5,16.3
2.39,228.8,12.9
2.49,210.9,14.8
2.59,211.3,
2.68,208.5,
2.79,214.2,
2.88,220.5,4.9
2.98,219.3,6.4
3.08,210.9,
3.19,194.5,18.2
3.29,200.9,14.0
3.39,176.2,4.6
3.49,181.8,7.6
3.59,188.2,14.4
3.69,196.1,10.6
3.8,176.7,
3.9,184.6,6.1
4.0,178.1,
4.09,170.1,9.1
4.2,171.9,9.9
4.3,163.9,7.2
4.4,152.0,
4.51,157.3,6.1
4.61,154.6,
4.81,160.1,8.0
5.02,155.8,8.3
