# Reference: (J,PR/C,43,883,1991)
E,sigma,d_sigma
1.819,0.9160052,0.10487099999999999
1.7725,1.2391595,0.1418802
1.727,2.0043490999999998,0.0851552
1.7043,2.5090884,0.106599
1.6818,3.4102529,0.14488499999999999
1.6595,4.2124277,0.17896600000000001
1.6373,5.4971973,0.2335662
1.6153,5.6553164,0.1806525
1.6043,5.4485571,0.223585
1.5933,5.1661948,0.2590518
1.5715000000000001,3.3296003,0.1434342
1.55,1.9780864999999999,0.0616774
1.5285,1.3153833,0.0410141
1.5073,0.8270388000000001,0.0160062
1.4985,0.5561766,0.0121989
1.486,0.3392382,0.0059052
1.465,0.18430439999999998,0.007692300000000001
1.4443,0.1299144,0.0080031
1.4235,0.084693,0.0052836
1.4028,0.0787878,0.005128199999999999
1.3825,0.06184920000000001,0.0058275
1.3623,0.0468453,0.0017405
1.3423,0.048228400000000005,0.0024087
1.3223,0.0287257,0.0013364
1.3023,0.0142036,0.0007304000000000001
1.2828,0.010901300000000001,0.0008392
1.2633,0.01108,0.0011344
1.2438,0.0084538,0.0016472000000000001
1.2343,0.0088345,0.0017249000000000001
1.2247999999999999,0.0071251,0.0008081000000000001
1.2055,0.0047708,0.0006993
1.1868,0.0022688,0.0006605
1.168,0.002735,0.0008003
1.1495,0.0026185,0.000303
1.1308,0.0026030000000000003,0.0003186
1.1125,0.0030614,0.0002098
1.0945,0.003512,0.00026419999999999997
1.0765,0.003108,0.0005283999999999999
1.0408,0.0017172,0.0001942
1.0058,0.0006371,0.0003963
0.9378,0.0002409,0.000101
0.8085,0.0001476,7.77e-05
0.724,0.0002176,6.99e-05
0.7122999999999999,0.0003574,9.32e-05
0.7006,0.0004973,0.00011650000000000001
0.6891,0.0007148,0.00013209999999999999
0.6777000000000001,0.0005051,0.0001088
0.6663,0.0006449,0.00012429999999999999
0.6551,0.0009013000000000001,0.00013209999999999999
0.6439,0.0007226,0.0001399
0.6329,0.0008003,0.0001554
0.6219,0.0005905,0.00011650000000000001
0.6111000000000001,0.0008003,0.0001399
0.6083999999999999,0.0006837999999999999,0.0001554
0.6057,0.00024859999999999997,9.32e-05
0.603,0.0001632,0.00011650000000000001
0.5976,0.0001787,9.32e-05
