# Reference: (J,PR,115,160,195907)
E,sigma
2.568,5.174
2.572,6.042
2.576,7.274
2.58,8.414
2.584,9.328
2.585,10.01
2.588,11.24
2.592,13.15
2.596,14.93
2.601,17.16
2.605,19.76
2.609,21.26
2.614,24.45
2.618,26.09
2.622,26.78
2.627,28.83
2.632,29.2
2.636,29.98
2.639,30.34
2.645,30.12
2.649,29.67
2.653,28.9
2.656,28.23
2.661,26.14
2.664,23.78
2.669,21.92
2.673,19.83
2.677,18.43
2.68,17.25
2.685,16.21
2.69,14.54
2.694,13.63
2.698,13.14
2.702,12.19
2.706,11.96
2.71,11.6
2.714,11.06
2.719,10.57
2.722,9.935
2.728,9.85
2.731,9.491
2.738,9.225
2.744,8.641
2.749,8.328
2.753,7.878
2.759,8.112
2.766,7.756
2.77,7.397
2.774,7.083
2.778,7.36
2.782,7.047
2.79,7.328
2.796,7.29
2.8,6.976
2.821,6.727
2.907,6.594
2.987,7.182
3.072,7.594
3.115,7.823
3.123,7.923
3.132,8.161
3.14,8.533
3.148,8.86
3.157,9.415
3.165,10.2
3.175,10.94
3.182,11.99
3.191,13.0
3.2,14.92
3.204,16.1
3.209,17.74
3.213,19.39
3.218,21.75
3.222,24.53
3.227,28.36
3.231,31.77
3.235,33.86
3.24,33.64
3.245,29.69
3.249,25.06
3.252,21.34
3.257,17.89
3.26,16.26
3.263,14.71
3.269,14.63
3.273,14.22
3.278,14.55
3.281,14.87
3.285,15.28
3.289,15.61
3.293,15.84
3.298,16.39
3.304,16.17
3.311,15.86
3.314,15.13
3.32,14.82
3.323,14.6
3.327,14.29
3.336,13.98
3.345,13.35
3.353,13.22
3.362,13.05
3.37,13.47
3.378,13.57
3.387,13.76
3.395,14.63
3.404,14.82
3.413,15.43
3.421,16.25
3.429,17.35
3.438,17.82
3.446,19.14
3.454,19.74
3.462,20.98
3.471,22.9
3.48,23.82
3.488,25.01
3.498,26.29
3.501,27.16
3.505,27.84
3.509,28.89
3.514,29.31
3.518,30.27
3.524,30.91
3.527,31.69
3.532,32.15
3.536,32.88
3.541,33.88
3.545,34.39
3.55,34.76
3.553,36.22
3.558,36.9
3.558,36.86
3.562,37.63
3.566,38.55
3.574,38.65
3.58,38.65
3.586,38.62
3.591,38.71
3.596,38.63
3.603,38.36
3.607,37.96
3.612,37.6
3.618,37.83
3.625,37.66
