# Reference: (J,NSE,66,188,1978)
E,sigma,d_sigma
4.4,252.1,31.8
4.5,162.6,21.4
4.6,128.1,17.1
4.65,122.4,16.7
4.7,118.8,16.4
4.75,126.5,16.2
4.8,144.7,19.5
4.85,134.4,17.9
4.9,134.7,17.9
4.95,110.0,14.5
5.0,108.5,14.4
5.05,108.9,14.5
5.1,106.6,14.5
5.15,116.9,15.2
5.2,120.7,16.5
5.25,120.9,15.9
5.3,111.8,14.6
5.35,95.1,12.4
5.4,92.4,12.9
5.45,75.5,9.9
5.5,65.8,9.7
5.55,66.9,8.6
5.6,76.8,11.1
5.7,68.2,9.6
5.8,53.8,7.3
5.9,43.8,6.3
6.0,40.4,5.1
6.1,50.5,6.2
6.2,44.1,5.8
6.25,41.5,5.7
6.3,45.2,5.8
6.35,48.9,6.1
6.4,54.2,6.8
6.45,44.9,5.8
6.5,42.6,5.4
6.55,35.8,4.6
6.6,37.9,4.7
6.65,32.7,4.2
6.7,35.0,4.5
