# Reference: (J,HPA,24,465,1951) in French
E,sigma
2.4782,0.59258
2.8304,11.417
3.1717,30.383
3.3585,45.087
3.5217,49.481
3.6699,56.571
3.8188,56.545
3.9781,50.566
4.1016,46.486
4.2553,42.831
4.3681,43.358
4.5135,44.118
4.6394,49.28
4.7617,52.9
4.9044,72.889
5.034,100.18
5.1563,109.07
5.2689,100.32
5.3962,64.332
5.5136,58.92
5.6242,59.092
5.7664,76.232
5.8252,79.784
5.8977,79.897
5.9584,74.223
6.0197,71.821
6.0943,73.481
6.1386,77.784
6.2041,107.74
6.2535,122.37
6.3195,138.67
6.3882,138.21
6.4447,115.07
6.5054,115.18
6.562,115.28
6.6168,118.94
6.6847,141.42
6.7283,159.93
