# Reference: (J,NC/A,58,342,198008)
E,sigma
3.036,1.058
3.081,7.468
3.096,10.02
3.126,13.88
3.141,16.43
3.156,20.25
3.171,22.81
3.201,27.92
3.215,32.99
3.262,35.63
3.309,37.0
3.34,39.6
3.355,42.15
3.388,40.98
3.402,44.79
3.433,47.39
3.493,51.32
3.496,57.61
3.556,61.55
3.585,67.92
3.6,71.73
3.662,75.67
3.677,78.22
3.739,83.41
3.802,86.09
3.835,83.65
3.852,81.18
3.9,82.56
3.917,78.82
3.951,75.13
3.984,71.43
4.018,67.74
4.051,66.56
4.099,66.68
4.116,64.2
4.163,66.84
4.196,63.15
4.23,59.45
4.279,57.05
4.312,53.36
4.33,48.37
4.363,45.93
4.396,43.49
4.445,41.1
4.478,38.66
4.527,38.78
4.559,37.6
4.607,37.72
4.637,41.58
4.669,42.92
4.7,46.77
4.731,49.37
4.776,55.78
4.791,58.33
4.854,59.75
4.887,58.57
4.92,57.39
4.951,59.99
4.982,62.59
5.012,67.7
5.042,71.55
5.073,75.41
5.102,83.04
5.146,93.22
5.158,100.8
5.169,113.4
5.199,118.5
5.22,106.0
5.249,113.6
5.269,103.6
5.286,102.4
5.303,99.91
5.32,97.43
5.337,96.21
5.4,98.89
5.432,97.71
5.463,101.6
5.495,101.7
5.509,105.5
5.558,104.3
5.606,104.4
5.622,103.2
5.655,102.1
5.671,100.8
5.703,102.2
5.718,103.5
5.75,103.5
5.782,103.6
5.828,110.0
5.844,110.1
5.859,112.6
5.905,115.3
5.906,117.8
5.936,119.1
5.967,123.0
5.982,125.5
5.997,128.1
6.027,133.2
6.043,133.2
