# Reference: (J,PR,139,B818,1965)
E,sigma
3.01,0.3
3.05,1.4
3.06,3.0
3.07,4.0
3.08,5.1
3.08,5.6
3.09,6.7
3.09,8.8
3.11,11.4
3.11,9.8
3.12,15.1
3.13,11.9
3.13,10.9
3.13,14.1
3.15,17.8
3.16,18.3
3.18,19.9
3.19,19.4
3.2,19.9
3.21,19.9
3.23,21.0
3.26,21.0
3.26,21.5
3.28,23.1
3.31,23.7
3.32,25.3
3.33,24.7
3.34,26.9
3.35,26.3
3.35,27.4
3.37,29.5
3.4,29.0
3.4,30.6
3.41,29.0
3.42,31.1
3.43,34.3
3.43,31.6
3.43,31.1
3.45,33.8
3.45,32.7
3.46,36.4
3.47,35.9
3.5,37.0
3.52,37.5
3.53,39.1
3.54,39.6
3.55,40.2
3.56,41.8
3.59,41.8
3.62,42.9
3.64,43.4
3.67,43.9
3.69,44.0
3.72,44.0
3.74,41.4
3.77,45.1
3.79,40.4
