# Reference: (J,PR,114,571,1959)
E,sigma
2.89,0.125
2.93,0.375
2.97,0.125
3.02,0.875
3.03,3.25
3.04,5.63
3.07,8.88
3.09,13.0
3.11,17.8
3.14,23.1
3.16,25.0
3.18,26.0
3.21,26.9
3.23,28.4
3.26,30.4
3.3,32.1
3.32,34.9
3.35,37.3
3.4,40.6
3.42,44.6
3.45,46.8
3.46,50.0
3.49,52.4
3.51,54.3
3.55,56.6
3.59,59.6
3.64,61.6
3.69,62.3
3.74,60.0
3.8,55.6
3.85,51.6
3.89,50.0
3.94,48.6
4.0,49.0
4.05,47.0
4.1,42.6
4.16,38.4
4.21,35.5
4.26,33.8
4.31,34.0
4.36,32.0
4.43,34.4
4.47,36.1
4.53,39.9
4.59,47.1
4.65,53.3
4.71,52.9
4.75,52.9
4.81,55.4
4.89,63.4
4.97,72.9
5.05,99.1
5.12,103.0
5.2,96.0
5.28,92.6
5.34,93.5
5.43,104.0
5.51,102.0
