# Reference: (J,NP/A,115,683,1968)
E,sigma
11.4,0.55
11.5,1.6
11.6,2.95
11.7,3.55
11.8,4.5
11.9,5.1
12.0,5.2
12.0,5.05
12.1,4.85
12.2,4.75
12.3,4.85
12.3,5.9
12.3,6.1
12.3,6.45
12.4,6.55
12.4,5.35
12.5,5.35
12.6,5.55
12.7,5.55
12.8,5.65
12.9,6.45
13.0,6.45
13.0,6.6
13.0,6.75
13.0,7.05
13.1,6.8
13.1,7.1
13.1,7.4
13.2,7.45
13.2,7.9
13.2,8.35
13.2,8.75
13.3,9.1
13.3,8.75
13.3,8.45
13.3,7.6
13.3,7.25
13.4,6.4
13.5,6.1
13.5,6.25
13.5,6.1
13.6,6.55
13.6,6.85
13.7,7.55
13.8,7.6
13.8,7.95
13.8,8.45
13.8,7.55
13.9,8.2
13.9,7.95
13.9,7.2
13.9,6.35
14.0,6.1
14.0,6.8
14.0,7.7
14.0,8.15
14.1,8.8
14.1,9.05
14.1,9.25
14.1,9.55
14.2,9.55
14.2,9.75
14.3,10.6
14.3,11.3
14.3,12.0
14.3,12.5
14.3,13.4
14.4,13.9
14.4,15.1
14.4,16.6
14.4,18.5
14.5,21.6
14.5,21.8
14.5,22.6
14.5,25.2
14.5,26.0
14.6,25.1
14.6,24.3
14.6,22.6
14.7,20.3
14.7,18.3
14.7,16.3
14.8,14.5
14.8,12.9
14.8,11.9
14.8,10.9
14.8,10.3
14.9,9.15
15.0,8.15
15.0,7.35
15.0,6.45
15.1,5.05
15.2,5.45
15.2,5.3
15.3,5.75
15.3,5.65
15.4,6.55
15.4,7.2
15.5,7.55
15.5,7.8
15.6,7.7
15.6,6.6
15.7,6.35
15.7,5.55
15.8,4.9
15.8,4.65
15.9,4.45
15.9,4.6
16.0,4.55
16.0,5.45
16.0,6.75
16.1,7.95
16.1,6.55
16.1,5.65
16.1,5.05
16.2,4.8
16.2,4.55
16.2,4.9
16.3,5.05
16.3,5.35
16.4,5.65
16.4,5.95
16.5,6.75
16.5,7.55
16.6,8.15
16.6,9.05
16.7,8.65
16.7,8.35
16.8,7.55
16.8,6.6
16.9,5.95
16.9,5.45
17.0,4.23
17.1,8.05
17.2,8.6
17.3,8.85
17.3,8.7
17.3,8.45
17.4,8.05
17.4,7.35
17.5,6.95
17.5,6.35
17.6,5.75
17.7,5.8
17.7,5.75
17.8,5.15
17.8,4.85
17.9,4.75
17.9,4.4
18.0,4.2
18.0,4.3
18.1,4.35
18.1,4.55
18.2,5.85
18.2,7.45
18.3,6.15
18.3,6.4
18.3,6.6
18.4,6.7
18.4,7.35
18.5,8.35
18.5,8.1
18.6,7.4
18.6,7.35
18.7,7.15
18.8,6.95
18.8,7.05
18.8,6.9
18.9,6.65
18.9,6.4
19.0,6.1
19.0,5.85
19.1,5.6
19.2,5.75
19.2,6.05
19.3,6.55
19.3,7.4
19.3,7.05
19.3,7.4
19.4,8.3
19.4,8.45
19.4,8.15
19.5,8.25
19.5,9.7
19.5,9.05
19.6,9.55
19.6,10.0
19.7,10.5
19.8,11.1
19.8,11.8
19.8,12.3
19.9,12.1
19.9,12.7
19.9,11.9
20.0,12.3
20.1,11.1
20.1,9.75
20.2,9.65
20.3,11.0
20.3,10.8
20.3,11.8
20.3,12.3
20.4,12.8
20.4,13.4
20.5,14.3
20.5,14.2
20.6,13.5
20.6,12.8
20.7,11.5
20.8,12.3
20.8,10.8
20.9,10.5
21.0,10.1
21.0,11.0
21.1,11.1
21.2,11.3
21.3,12.6
21.3,12.9
21.4,13.1
21.4,13.2
21.5,13.4
21.5,13.3
21.6,13.7
21.7,14.0
21.7,15.1
21.8,14.8
21.8,14.9
21.9,15.6
21.9,17.0
22.0,18.3
22.0,19.8
22.0,20.3
22.1,20.4
22.1,21.0
22.3,19.8
22.3,22.0
22.3,22.8
22.4,22.8
22.5,22.7
22.5,22.2
22.6,20.8
22.6,20.0
22.7,20.2
