# Reference: (J,IZV,84,1440,2020)
E,sigma,d_sigma
1.007,96.50428,1.381
1.291,131.80264,5.19256
1.544,135.8904,5.4
1.797,165.1676,4.9716
2.051,199.9688,4.4192
2.26,218.7504,7.7336
2.528,187.2636,6.0764
2.758,136.4428,0.5524
2.982,129.814,1.6572
3.212,130.9188,1.6572
3.435,103.8512,0.66288
3.655,107.9942,4.6954
3.877,102.85688,0.99432
4.091,70.27633,2.75377
4.31,66.12228,1.81988
4.522,81.67786,0.55039
4.739,92.36128,2.47544
4.954,94.01848,1.65331
5.163,90.07434,2.97311
5.378,90.51626,0.32995
5.661,77.56801,1.10026
5.828,74.83915,1.09896
6.007,82.07559,2.19747
6.215,100.11698,0.82469
6.426,116.97247,1.6475
6.699,100.87376,3.11643
6.854,80.42944,1.80188
7.048,77.45753,2.39672
7.255,77.62325,2.78592
7.464,79.25835,2.94762
7.666,84.32386,0.65452
7.876,82.86,2.1748
8.079,84.62768,3.70314
8.286,66.14438,3.78896
8.494,65.03958,2.26882
8.695,64.34355,0.59527
8.904,82.66114,0.59781
9.107,81.25804,1.40847
9.311,75.60146,2.38285
9.518,70.37576,0.8675
9.725,73.4471,1.94992
9.927,68.48655,2.38026
10.129,63.89058,0.48854
10.333,59.1068,1.35194
10.538,63.36028,1.24448
10.738,63.8243,0.64796
10.946,64.0784,1.35186
11.146,61.5926,0.54029
11.352,57.79209,0.64693
11.555,54.07996,0.5931
11.755,50.57774,0.75009
