# Reference: (J,RCA,55,1,1991)
E,sigma
0.6,3.0
0.68,15.0
0.76,42.0
0.85,68.0
0.94,68.0
1.05,76.0
1.17,93.0
1.27,116.0
1.4,130.0
1.5,188.0
1.67,124.0
1.88,108.0
2.15,95.0
2.35,88.0
2.51,79.0
2.7,78.0
2.84,75.0
3.0,69.0
3.12,64.0
3.26,62.0
3.53,54.0
3.68,42.0
4.0,48.0
4.13,52.0
4.26,56.0
4.39,55.0
4.51,56.0
4.64,55.0
4.88,56.0
5.0,55.0
5.12,50.0
5.24,47.0
5.36,46.0
5.48,50.0
5.6,55.0
5.72,47.0
5.84,62.0
5.95,68.0
6.18,63.0
6.3,60.0
6.41,59.0
6.53,59.0
6.64,54.0
6.76,52.0
6.87,52.0
7.1,50.0
7.32,51.0
7.54,51.0
7.88,57.0
8.1,37.0
8.32,43.0
8.65,50.0
8.97,45.0
9.19,42.0
9.84,38.0
10.37,39.0
10.9,37.0
11.43,35.0
11.96,34.0
12.28,36.0
12.59,35.0
12.8,40.0
13.12,40.0
13.33,42.0
13.58,43.0
14.68,45.0
15.72,44.0
16.86,45.0
17.88,45.0
18.89,47.0
19.9,51.0
20.9,49.0
22.1,53.0
