# Reference: (J,NIM/B,51,1,1990)
E,sigma,d_sigma
0.52,2.7,
0.59,7.7,
0.65,12.4,
0.69,15.7,
0.74,27.2,
0.79,40.0,
0.85,68.9,
0.89,105.0,
0.95,105.7,
0.98,82.3,
1.04,82.3,
1.09,99.8,
1.14,114.3,
1.19,128.8,
1.25,129.7,6.1
1.28,181.0,8.1
1.34,97.6,9.8
1.39,103.6,
1.44,119.8,8.8
1.48,127.9,8.4
1.52,130.2,8.1
1.59,119.3,8.1
1.63,114.6,
1.68,137.5,7.8
1.73,169.2,8.4
1.78,151.3,
1.83,160.0,10.1
1.87,163.7,
1.93,169.4,15.2
1.98,189.3,10.8
2.03,193.9,14.2
2.08,186.5,13.5
2.13,208.7,
2.17,208.4,12.2
2.23,211.7,9.5
2.28,240.0,8.1
2.33,224.4,6.8
2.38,209.2,9.1
2.44,177.1,9.1
2.48,176.0,13.2
2.53,181.4,11.5
2.58,160.8,13.2
2.64,165.1,7.8
2.68,189.7,
2.74,123.2,10.8
2.79,142.0,
2.85,142.3,10.8
2.88,147.7,9.1
2.93,148.0,11.8
2.98,125.7,12.2
3.03,102.0,9.5
3.08,119.9,9.1
3.13,135.7,6.4
3.18,123.2,8.8
3.23,126.8,6.1
3.29,121.4,7.4
3.33,121.7,6.1
3.38,109.8,9.5
3.43,97.0,5.1
3.48,103.7,4.7
3.59,97.5,
3.69,101.2,10.1
3.79,104.8,9.4
3.9,103.0,7.1
3.99,100.9,
4.04,74.2,12.8
4.09,63.0,
4.18,63.0,
4.29,62.9,
4.39,71.9,7.8
4.45,81.3,
4.5,82.7,5.1
4.55,76.9,
4.63,81.2,6.8
4.63,81.5,7.1
4.69,88.9,
4.79,102.7,
4.89,99.6,
5.0,93.4,5.7
5.25,88.8,
5.5,79.8,
5.75,77.6,
6.0,89.9,
