# Reference: (J,JRN,97,97,1986)
E,sigma
0.368,0.7
0.396,0.6
0.424,1.0
0.452,1.4
0.48,2.0
0.508,2.8
0.536,4.0
0.5640000000000001,4.9
0.592,6.4
0.619,8.5
0.646,10.4
0.673,12.1
0.7010000000000001,15.0
0.728,18.0
0.755,25.0
0.781,34.0
0.807,40.0
0.833,52.0
0.859,61.0
0.884,63.0
0.91,98.0
0.936,102.0
0.961,95.0
0.987,94.0
1.0130000000000001,88.0
1.038,89.0
1.063,85.0
1.088,89.0
1.113,103.0
1.1380000000000001,117.0
1.163,113.0
1.188,117.0
1.213,115.0
1.237,119.0
1.2610000000000001,133.0
1.285,135.0
1.308,145.0
1.32,134.0
1.329,117.0
1.348,94.0
1.366,94.0
1.3840000000000001,93.0
1.4020000000000001,87.0
1.42,96.0
1.45,107.0
1.55,117.0
1.6500000000000001,120.0
1.7,101.0
