# Reference: (J,PR,181,1428,1969)
E,sigma
1.96,167.0
1.97,167.0
1.98,168.0
1.98,169.0
1.99,170.0
2.0,170.0
2.0,172.0
2.0,173.0
2.02,174.0
2.02,173.0
2.03,175.0
2.04,174.0
2.04,175.0
2.05,176.0
2.06,178.0
2.06,177.0
2.07,178.0
2.08,177.0
2.08,179.0
2.09,179.0
2.1,179.0
2.1,181.0
2.11,180.0
2.12,180.0
2.13,182.0
2.14,182.0
2.15,183.0
2.16,182.0
2.16,184.0
2.17,186.0
2.18,186.0
2.18,187.0
2.19,187.0
2.2,188.0
2.2,189.0
2.21,190.0
2.22,191.0
2.23,192.0
2.24,193.0
2.24,194.0
2.25,195.0
2.26,194.0
2.26,195.0
2.27,198.0
2.27,199.0
2.28,199.0
2.29,199.0
2.3,200.0
2.31,198.0
2.32,198.0
2.33,199.0
2.34,198.0
2.35,196.0
2.36,197.0
2.36,193.0
2.37,191.0
2.38,190.0
2.38,188.0
2.39,185.0
2.4,183.0
2.4,182.0
2.41,179.0
2.42,178.0
2.42,175.0
2.44,174.0
2.44,171.0
2.45,170.0
2.46,168.0
2.47,167.0
2.48,165.0
2.48,162.0
2.5,162.0
2.5,161.0
2.51,158.0
2.52,158.0
2.52,156.0
2.53,155.0
2.54,155.0
2.55,154.0
2.55,156.0
2.56,154.0
2.57,155.0
2.58,153.0
2.58,152.0
2.59,151.0
2.6,147.0
2.6,143.0
2.61,139.0
2.62,135.0
2.63,135.0
2.64,136.0
2.65,138.0
2.65,139.0
2.66,141.0
2.67,143.0
2.67,145.0
2.68,148.0
2.69,151.0
2.69,153.0
2.7,153.0
2.71,153.0
2.72,149.0
2.72,141.0
2.73,129.0
2.74,120.0
2.74,115.0
2.76,113.0
2.76,114.0
2.77,116.0
2.78,117.0
2.79,119.0
2.8,121.0
2.8,124.0
2.81,126.0
2.82,129.0
2.82,126.0
2.83,124.0
2.84,120.0
2.85,122.0
2.86,123.0
2.87,124.0
2.88,125.0
2.89,127.0
2.9,127.0
2.91,127.0
2.91,128.0
2.92,128.0
2.93,129.0
2.94,130.0
2.94,133.0
2.95,134.0
2.96,134.0
2.97,135.0
2.98,135.0
2.98,136.0
2.99,134.0
3.0,131.0
3.0,126.0
3.02,118.0
3.02,111.0
3.03,105.0
3.04,100.0
3.04,98.0
3.06,98.0
3.06,99.0
3.07,101.0
3.08,103.0
3.09,106.0
3.1,106.0
3.11,108.0
3.12,109.0
3.13,112.0
3.13,115.0
3.14,116.0
3.15,118.0
3.16,120.0
3.16,121.0
3.17,122.0
3.18,123.0
3.19,124.0
3.2,126.0
3.22,128.0
3.22,129.0
3.23,130.0
3.24,130.0
3.25,133.0
3.26,132.0
3.26,134.0
3.28,133.0
3.28,135.0
3.28,136.0
3.3,135.0
3.3,136.0
3.31,137.0
3.32,136.0
3.33,138.0
3.34,137.0
3.35,137.0
3.36,139.0
3.37,138.0
3.38,132.0
3.38,128.0
3.39,126.0
3.4,125.0
3.41,125.0
3.42,124.0
3.43,124.0
3.44,122.0
3.44,124.0
3.45,126.0
3.46,127.0
3.47,129.0
3.48,130.0
3.48,131.0
3.49,132.0
3.5,134.0
3.51,134.0
3.52,135.0
3.53,136.0
3.54,137.0
3.54,138.0
3.55,138.0
3.56,138.0
3.57,139.0
3.58,140.0
3.59,141.0
3.6,141.0
3.61,142.0
3.63,142.0
3.63,143.0
3.64,143.0
3.65,144.0
3.66,144.0
3.67,144.0
3.68,144.0
3.69,143.0
3.69,146.0
3.7,145.0
3.72,145.0
3.72,146.0
3.73,147.0
3.74,147.0
3.76,146.0
3.78,147.0
3.8,148.0
3.82,148.0
3.84,150.0
3.87,150.0
3.9,151.0
3.94,152.0
3.98,153.0
4.02,144.0
4.02,140.0
4.03,138.0
4.04,135.0
4.05,132.0
4.06,128.0
4.07,125.0
4.08,124.0
4.08,121.0
4.1,120.0
4.11,120.0
4.11,121.0
4.12,118.0
4.13,118.0
4.14,118.0
4.15,120.0
4.16,121.0
4.17,121.0
4.18,122.0
4.19,123.0
4.2,125.0
4.2,126.0
4.21,128.0
4.22,128.0
4.23,129.0
4.25,129.0
4.26,130.0
4.27,129.0
4.28,129.0
4.29,131.0
4.29,132.0
4.3,133.0
4.32,134.0
4.33,135.0
4.34,137.0
4.36,137.0
4.36,139.0
4.37,139.0
4.37,141.0
4.38,142.0
4.39,143.0
4.4,144.0
4.4,145.0
4.41,146.0
4.41,147.0
4.42,148.0
4.43,148.0
4.43,151.0
4.44,150.0
4.44,152.0
4.45,152.0
4.45,154.0
4.45,155.0
4.46,156.0
4.46,158.0
4.47,158.0
4.48,158.0
4.48,160.0
4.49,163.0
4.5,162.0
