# Reference: (J,PR/C,45,1382,9203)
E,sigma,d_sigma
2.0211E-01,3.7643E-02,2.9828E-03
2.5870E-01,2.7074E-01,1.0829E-02
2.7948E-01,4.8238E-01,1.9295E-02
2.9912E-01,8.0148E-01,3.2059E-02
3.1875E-01,1.1802E+00,4.7209E-02
3.3954E-01,1.7894E+00,7.1577E-02
3.5917E-01,2.4864E+00,9.9456E-02
3.7881E-01,3.3263E+00,1.3305E-01
3.9959E-01,4.5046E+00,1.8018E-01
4.1923E-01,6.2200E+00,2.4880E-01
4.3886E-01,8.7448E+00,3.4979E-01
4.5965E-01,1.1472E+01,4.5887E-01
4.7928E-01,1.4525E+01,5.8098E-01
5.0007E-01,1.7706E+01,7.0823E-01
5.1970E-01,2.2122E+01,8.8488E-01
5.3934E-01,2.6892E+01,1.0757E+00
5.6012E-01,3.3137E+01,1.3255E+00
5.7976E-01,3.9503E+01,1.5801E+00
5.9939E-01,4.8279E+01,1.9311E+00
6.0978E-01,5.0555E+01,2.0222E+00
6.1902E-01,5.2464E+01,2.0985E+00
6.2942E-01,5.5604E+01,2.2242E+00
6.3981E-01,5.6479E+01,2.2592E+00
6.4905E-01,5.9132E+01,2.3690E+00
6.5944E-01,6.2664E+01,2.5066E+00
6.7908E-01,6.7102E+01,2.6841E+00
6.9987E-01,7.3739E+01,2.9496E+00
7.1950E-01,8.6095E+01,3.4438E+00
7.3913E-01,9.5911E+01,3.8364E+00
7.5992E-01,1.0636E+02,4.2545E+00
7.7955E-01,1.1890E+02,4.7558E+00
7.9919E-01,1.3031E+02,5.2123E+00
8.1998E-01,1.4218E+02,5.6872E+00
8.3961E-01,1.6055E+02,6.4221E+00
8.5924E-01,1.7187E+02,6.8747E+00
8.8003E-01,1.8348E+02,7.3393E+00
8.9966E-01,1.9863E+02,7.9454E+00
9.1930E-01,2.1733E+02,8.6933E+00
9.3893E-01,2.2091E+02,8.8363E+00
9.5972E-01,2.2042E+02,8.8166E+00
9.7935E-01,2.3203E+02,9.2814E+00
9.9898E-01,2.2845E+02,9.1380E+00
1.0486E+00,2.5403E+02,1.0161E+01
1.0983E+00,2.8670E+02,1.1468E+01
1.1480E+00,3.0488E+02,1.2195E+01
1.1976E+00,3.3280E+02,1.3312E+01
1.2484E+00,3.6732E+02,1.4693E+01
1.2981E+00,4.0904E+02,1.6361E+01
1.3478E+00,4.0757E+02,1.6303E+01
1.3986E+00,4.1144E+02,1.6458E+01
1.4482E+00,4.0878E+02,1.6351E+01
1.4979E+00,3.9695E+02,1.5878E+01
1.5487E+00,4.2425E+02,1.6970E+01
1.5984E+00,4.2847E+02,1.7139E+01
1.6480E+00,4.2915E+02,1.7166E+01
1.6988E+00,4.2042E+02,1.6817E+01
1.7485E+00,4.2209E+02,1.6884E+01
1.7982E+00,4.1728E+02,1.6691E+01
1.8490E+00,4.0197E+02,1.6079E+01
1.8986E+00,3.8978E+02,1.5591E+01
1.9483E+00,3.9667E+02,1.5867E+01
1.9991E+00,3.8033E+02,1.5213E+01
2.0984E+00,3.6548E+02,1.4619E+01
2.1989E+00,3.8108E+02,1.5243E+01
2.2982E+00,4.1474E+02,1.6589E+01
2.3987E+00,4.1147E+02,1.6459E+01
