# Reference: (J,RCA,55,1,1991)
E,sigma
2.09,3.0
2.79,4.0
3.18,20.0
3.43,31.0
3.68,43.0
3.92,37.0
4.28,69.0
4.51,82.0
4.74,102.0
4.97,121.0
5.2,85.0
5.43,102.0
5.65,110.0
5.76,121.0
5.87,61.0
5.98,145.0
6.09,160.0
6.2,166.0
6.31,161.0
6.42,188.0
6.53,178.0
6.64,166.0
6.75,145.0
6.86,129.0
6.96,116.0
7.07,106.0
7.18,63.0
7.29,106.0
7.51,107.0
7.61,124.0
7.72,131.0
7.83,195.0
7.94,102.0
8.04,125.0
8.15,79.0
8.26,104.0
8.36,86.0
8.47,136.0
8.57,82.0
8.68,60.0
8.78,49.0
8.89,53.0
9.1,97.0
9.31,70.0
9.52,61.0
9.72,82.0
9.93,47.0
10.25,51.0
10.45,42.0
10.77,54.0
11.08,7.0
11.28,7.0
11.59,16.0
12.11,16.0
13.14,6.0
14.16,6.0
15.18,6.0
16.31,11.0
17.32,21.0
18.34,24.0
19.35,5.0
20.37,13.0
21.38,21.0
22.4,24.0
23.41,25.0
24.42,26.0
25.43,27.0
26.44,25.0
27.45,26.0
28.47,25.0
29.48,28.0
30.5,32.0
31.51,36.0
32.53,39.0
33.55,41.0
