# Reference: (R,NFL-6,1979)
E,sigma
3.2391,5.9
3.2406,9.2
3.2422,14.1
3.2437,17.8
3.2453,21.7
3.2484,25.7
3.2499,26.2
3.2515,28.0
3.253,30.6
3.275,36.5
3.3,38.6
3.325,38.6
3.35,37.1
3.375,35.7
3.4,34.2
3.425,33.2
3.45,32.3
3.475,32.2
3.5,32.3
3.525,32.9
3.55,33.4
3.575,34.7
3.6,35.0
3.625,37.6
3.65,39.2
3.675,42.7
3.7,46.2
3.725,52.4
3.75,60.0
3.775,63.8
3.8,59.4
3.825,51.8
3.85,45.2
3.875,40.2
3.9,38.9
3.91,39.0
3.92,38.9
3.93,39.9
3.94,40.8
3.95,43.0
3.96,45.4
3.965,45.9
3.97,49.3
3.9725,52.8
3.975,55.2
3.9775,58.8
3.98,64.0
3.9825,72.8
3.985,84.9
3.9875,100.3
3.99,114.7
3.9925,129.9
3.995,121.9
3.9975,107.8
4.0,91.5
4.0025,78.9
4.005,70.1
4.0075,64.0
4.01,60.5
4.0125,57.3
4.015,55.3
4.0175,53.6
4.02,52.6
4.03,50.4
4.04,49.7
4.05,50.8
4.06,49.9
4.07,48.8
4.08,49.9
4.09,49.5
4.1,49.5
4.11,49.9
4.12,51.2
4.13,53.1
4.14,56.9
4.15,62.5
4.16,59.0
4.17,52.3
4.18,47.8
4.19,45.5
4.2,44.7
4.21,44.2
4.22,43.5
4.23,44.2
4.24,44.3
4.25,44.9
