# Reference: (J,PR,114,571,1959)
E,sigma
3.88,26.0
3.91,25.7
3.93,27.0
3.96,31.7
3.96,34.2
3.97,39.8
3.98,53.0
3.98,78.5
3.99,83.0
4.0,55.5
4.0,43.8
4.01,38.0
4.02,35.8
4.02,34.4
4.03,33.6
4.06,33.6
4.09,33.7
4.11,35.3
4.14,41.2
4.17,36.8
4.19,32.8
4.22,30.8
4.25,31.4
4.27,33.4
4.3,33.8
4.33,35.2
4.36,37.3
4.38,39.7
4.41,45.5
4.44,54.0
4.46,67.5
4.49,78.0
4.52,79.0
4.55,73.5
4.58,66.0
4.6,60.5
4.63,58.0
4.66,67.0
4.69,74.0
4.71,79.0
4.74,81.5
4.77,80.5
4.8,81.0
4.83,83.5
4.86,85.0
4.89,85.5
4.91,85.5
4.94,87.0
4.97,90.5
5.0,91.0
5.03,94.0
5.06,91.0
5.09,91.0
5.12,87.5
5.15,84.0
5.18,80.0
5.21,74.0
5.24,74.0
5.27,74.0
