# Reference: (J,PR/C,43,883,1991)
E,sigma,d_sigma
1.45925,16.935619,0.119549
1.42631,23.987840000000002,0.169463
1.4099400000000002,28.895580000000002,0.203208
1.39369,35.243339999999996,0.202903
1.3771300000000002,46.265602,0.20643799999999998
1.3691300000000002,53.985863,0.240337
1.3606300000000002,63.111644999999996,0.280877
1.35256,75.208648,0.33576900000000004
1.34456,95.161906,0.30056299999999997
1.33656,122.088148,0.385378
1.33256,141.746578,0.447817
1.32856,164.425906,0.519312
1.3246300000000002,192.89921900000002,0.6090209999999999
1.3206900000000001,224.45996900000003,0.708442
1.31906,239.652328,0.756306
1.31825,246.228625,0.766208
1.3175000000000001,252.209297,0.7502179999999999
1.3166900000000001,257.744203,0.8135789999999999
1.3158800000000002,264.63478100000003,0.761752
1.3151300000000001,269.583281,0.69532
1.3143099999999999,274.47731300000004,0.863914
1.3135000000000001,279.050313,0.878495
1.31275,282.26912500000003,0.885169
1.31194,287.673969,0.812104
1.3111300000000001,289.04103100000003,0.849602
1.31038,291.354531,0.908251
1.30956,294.670406,0.70814
1.30875,293.518281,0.926802
1.308,290.97596899999996,0.842287
1.30719,289.264719,0.903295
1.30644,286.932375,0.760746
1.30563,280.149219,0.7247720000000001
1.30481,275.644875,0.767471
1.30406,271.932031,0.859383
1.30325,262.961094,0.828851
1.3025,255.300141,0.809254
1.30169,248.173266,0.702823
1.30094,240.5645,0.7341420000000001
1.2970599999999999,195.71207800000002,0.588037
1.2931300000000001,150.455359,0.433436
1.28919,112.40164800000001,0.495971
1.2814400000000001,65.282734,0.335716
1.27375,34.921949,0.21881899999999999
1.26575,23.462789,0.163255
1.25031,9.947803,0.092631
1.23506,5.1899939999999996,0.051525
1.2196300000000002,3.897116,0.012213
1.21231,3.913522,0.011539
1.20469,4.468406,0.011751
1.19719,5.748081,0.016861
1.18956,8.944446,0.028193000000000003
1.1821300000000001,16.608366999999998,0.051906999999999995
1.17463,43.705715,0.13815100000000002
1.17069,106.493711,0.343642
1.1668800000000001,263.337688,0.848616
1.165,352.32256300000006,1.109795
1.16331,341.96378100000004,1.0772560000000002
1.15956,135.869281,0.428759
1.15225,28.279336,0.199106
1.1448800000000001,11.085638999999999,0.073176
1.13725,6.186008,0.019025
1.1299400000000002,3.9449769999999997,0.008522
1.1226300000000002,2.869515,0.007152
1.11894,2.509701,0.005808
1.1146900000000002,2.25685,0.005869
1.11175,2.067489,0.006176999999999999
1.10806,1.924481,0.006046999999999999
1.1045,1.771043,0.005581000000000001
1.10106,1.654986,0.004708
1.09731,1.563212,0.004934
1.0935599999999999,1.4815180000000001,0.00466
1.0899400000000001,1.422425,0.003743
1.0863800000000001,1.367338,0.004313
1.08275,1.321068,0.003267
1.07931,1.2762760000000002,0.002549
1.07213,1.229935,0.003005
1.06488,1.175645,0.003614
1.05781,1.133788,0.002542
