# Reference: (J,NP/A,186,257,1972)
E,sigma
6.3,5.9
6.35,12.8
6.46,14.1
6.53,22.3
6.66,42.8
6.72,51.0
6.84,42.7
6.9,55.0
6.95,42.7
7.01,34.5
7.08,42.7
7.19,46.8
7.21,50.9
7.37,55.0
7.45,63.2
7.55,67.3
7.63,63.2
7.74,57.8
7.81,54.9
7.99,46.7
8.01,42.6
8.07,57.4
8.13,69.7
8.18,71.3
8.23,75.4
8.27,67.2
8.36,65.9
8.45,79.5
8.54,87.7
8.65,98.3
8.72,100.0
8.83,99.9
8.85,95.8
8.91,87.6
8.94,79.4
9.01,87.2
9.09,98.7
9.12,112.2
9.2,116.3
9.27,115.1
9.32,108.1
9.36,91.7
9.45,95.8
9.64,83.4
9.74,75.2
9.82,95.7
9.86,71.1
9.95,67.0
10.0,50.6
10.06,44.8
10.09,42.4
10.13,50.5
10.18,62.9
10.31,58.7
10.36,57.1
10.47,54.6
10.49,55.0
10.55,58.7
10.6,54.6
10.66,46.4
10.73,42.3
10.84,58.7
10.86,62.8
10.91,71.0
11.02,54.5
11.09,48.8
11.12,42.2
11.19,54.5
11.28,66.8
11.33,69.7
11.39,66.8
11.46,62.7
11.49,54.5
11.59,50.4
11.64,46.3
11.71,42.2
11.75,54.5
11.82,42.1
11.93,46.2
12.01,50.3
12.09,54.4
12.12,46.2
12.19,40.4
12.23,33.9
12.26,29.8
12.3,28.1
12.37,29.8
12.48,40.4
12.55,25.6
12.65,21.5
12.74,24.0
12.85,25.6
13.28,27.2
13.38,25.5
13.47,24.3
13.58,15.5
13.65,37.8
13.78,29.6
13.83,27.9
14.01,33.6
14.12,33.6
14.38,37.7
14.51,33.6
14.67,27.8
14.74,25.4
14.93,25.3
15.04,25.3
15.29,23.7
15.47,25.3
15.58,25.3
15.66,21.2
15.77,17.0
15.84,17.0
15.84,19.9
16.02,17.0
16.2,19.4
16.23,21.1
16.33,17.0
16.39,17.0
16.51,16.9
16.57,15.7
16.68,16.9
16.75,15.3
16.88,16.9
16.99,16.9
17.12,15.2
17.3,12.7
17.41,12.7
17.48,12.7
17.85,12.7
18.03,13.9
18.13,15.1
18.21,12.6
18.39,15.1
18.58,16.7
18.69,16.7
18.76,16.7
18.94,16.6
19.05,16.6
19.12,15.4
19.31,15.0
19.42,16.6
19.49,15.4
19.67,16.6
19.78,16.5
19.85,16.5
