# Reference: (J,IZV,84,1440,2020)
E,sigma,d_sigma
2.3865,74.1342,7.41342
2.623,91.4136,9.14136
2.847,128.202,12.8202
3.072,111.48,11.148
3.293,97.545,9.7545
3.5115,88.0692,8.80692
3.7295,90.8562,9.08562
3.948,88.0692,8.80692
4.1595,94.758,9.4758
4.3765,68.5602,6.85602
4.585,86.9544,8.69544
4.585,84.7248,8.47248
4.8005,78.036,7.8036
5.0135,83.61,8.361
5.2205,55.74,5.574
5.434,72.462,7.2462
5.637,84.7248,8.47248
5.8515,84.7248,8.47248
6.059,91.971,9.1971
6.2645,81.9378,8.19378
6.4745,74.1342,7.41342
6.677,68.0028,6.80028
6.888,76.3638,7.63638
7.0935,82.4952,8.24952
7.299,78.036,7.8036
7.508,82.4952,8.24952
7.7085,83.61,8.361
7.9175,79.7082,7.97082
8.121,68.5602,6.85602
8.326,74.1342,7.41342
8.533,72.462,7.2462
8.7335,70.7898,7.07898
8.9415,70.2324,7.02324
9.144,58.527,5.8527
9.348,42.80832,4.28083
9.554,46.87734,4.68773
9.7535,53.5104,4.0
9.9605,55.74,4.0
10.1625,65.7732,6.57732
10.367,62.9862,6.29862
10.571,52.78578,5.27858
10.771,55.74,4.0
10.978,43.4772,4.34772
11.1785,66.888,6.0
11.3825,65.7732,6.57732
11.5855,70.7898,5.66318
