# Reference: (J,PR/C,13,524,197602)
E,sigma,d_sigma
3.78,,
3.88,0.0051,0.0041
3.98,0.0152,0.0026
4.03,0.013,0.0053
4.08,0.176,
4.13,0.947,
4.19,0.183,
4.24,0.199,
4.29,0.252,
4.34,0.379,
4.39,0.545,
4.44,0.796,
4.49,1.46,
4.54,7.11,
4.59,5.36,
4.64,3.87,
4.69,5.1,
4.74,10.8,
4.79,12.3,
4.82,15.4,
4.85,21.0,
4.87,19.9,
4.9,15.2,
4.95,9.53,
5.0,9.17,
5.03,10.0,
5.05,12.4,
5.07,14.9,
5.1,20.7,
5.15,42.5,
5.17,47.1,
5.2,49.1,
5.25,38.9,
5.27,36.3,
5.28,31.4,
5.3,32.4,
5.38,30.4,
5.48,48.2,
5.58,44.2,
5.68,33.7,
5.78,39.4,
5.88,53.0,
5.98,56.1,
6.08,134.0,
6.18,57.9,
6.28,65.0,
6.38,72.6,
