# Reference: (J,HPA,25,442,1952) Short note, in German
E,sigma
4.2196,0.10092
4.3173,0.24489
4.4088,0.39313
4.5005,0.75368
4.5803,1.3308
4.6606,2.7572
4.7409,4.1835
4.8332,6.6629
4.9194,8.5096
4.94,10.0
4.9999,10.361
5.0763,8.3857
5.1505,12.572
5.2266,20.569
5.3,28.0
5.3064,25.711
5.3743,27.322
5.4509,26.01
5.5279,29.903
5.6,35.0
5.6017,35.045
5.6717,32.068
5.7418,29.09
5.8088,29.864
5.8817,32.924
5.9507,38.071
6.0203,46.265
6.085,57.909
6.15,66.0
6.1572,65.654
6.2151,51.191
6.2906,45.374
6.36,46.799
6.4211,50.147
6.4957,53.057
6.5601,56.405
6.6341,69.431
6.7086,93.997
