# Reference: (J,PR/C,9,(6),2134,197406)
E,sigma,d_sigma
5.0,16.0,
5.1,23.0,
5.2,45.0,
5.3,43.0,
5.4,37.0,
5.5,56.0,
5.6,51.0,
5.7,28.0,
5.8,43.0,
5.9,52.0,
6.0,66.0,
6.1,103.0,
6.2,77.0,
6.3,76.0,
6.4,77.0,
6.5,83.0,
6.6,114.0,
6.7,161.0,
6.8,157.0,
6.9,183.0,15.0
7.0,164.0,
7.1,147.0,
7.2,179.0,
7.3,219.0,
7.4,213.0,
7.5,252.0,
7.6,253.0,
7.7,217.0,
7.8,169.0,
7.9,172.0,
8.0,192.0,
8.1,137.0,
8.2,121.0,
8.3,103.0,
8.4,99.0,
8.5,81.0,
8.6,65.0,
8.7,61.0,
8.8,65.0,5.0
8.9,65.0,
9.0,61.0,
9.1,63.0,
9.2,65.0,
9.3,71.0,
9.4,77.0,
9.5,100.0,
9.6,106.0,
9.7,85.0,
9.8,73.0,
9.9,76.0,
10.0,64.0,
10.1,59.0,
10.2,64.0,
10.3,78.0,
10.4,91.0,
10.5,111.0,
10.6,130.0,
10.7,135.0,
10.8,105.0,
11.1,99.0,
11.2,104.0,
11.3,107.0,
11.4,122.0,
11.5,116.0,
11.6,110.0,
11.7,94.0,
11.8,77.0,
11.9,84.0,
12.0,83.0,
12.1,75.0,
12.2,81.0,
12.4,85.0,
12.5,90.0,
12.6,97.0,
12.7,95.0,
12.8,112.0,
12.9,107.0,
13.0,116.0,
13.2,113.0,
13.4,116.0,9.0
13.5,116.0,
13.6,110.0,
13.7,112.0,
13.8,107.0,
13.9,119.0,
14.0,123.0,
14.1,119.0,
14.2,111.0,
14.3,102.0,
14.4,96.0,
14.5,92.0,
14.6,83.0,
14.7,88.0,
14.8,79.0,
14.9,77.0,
15.0,82.0,
15.1,84.0,
16.1,89.0,
17.1,77.0,6.0
18.1,64.0,
19.1,49.0,6.0
20.1,38.0,8.0
21.0,33.0,7.0
22.0,31.0,7.0
