# Reference: (J,PR,86,527,195205)
E_cm,sigma,d_sigma
0.098,0.00052,0.00016
0.185,0.28,0.083
0.196,0.58,0.17
0.197,0.67,0.2
0.206,1.2,0.35
0.21,0.93,0.28
0.219,2.6,0.77
0.22,2.5,0.75
0.233,4.2,1.3
0.236,4.0,1.2
0.244,5.5,1.7
0.245,6.6,2.0
0.255,11.0,3.3
0.258,9.2,2.8
0.26,9.7,2.9
0.261,8.9,2.7
0.27,16.0,4.8
0.272,14.0,4.2
0.283,23.0,7.0
0.284,26.0,7.7
0.295,39.0,12.0
0.3,38.0,11.0
0.307,54.0,16.0
0.32,77.0,23.0
0.331,86.0,26.0
0.343,94.0,28.0
0.354,92.0,28.0
0.367,82.0,25.0
0.376,78.0,23.0
0.39,72.0,22.0
0.4,67.0,20.0
0.414,63.0,19.0
0.424,64.0,19.0
0.434,60.0,18.0
0.448,60.0,18.0
0.459,58.0,18.0
0.471,58.0,17.0
0.494,57.0,17.0
0.517,57.0,17.0
0.541,59.0,18.0
0.565,57.0,17.0
0.588,60.0,18.0
0.613,64.0,19.0
0.616,72.0,22.0
0.637,66.0,20.0
0.658,70.0,21.0
0.661,67.0,20.0
0.68,75.0,23.0
0.682,72.0,22.0
0.706,81.0,24.0
0.707,84.0,25.0
0.725,93.0,28.0
0.726,90.0,27.0
0.747,110.0,34.0
0.749,98.0,29.0
0.772,120.0,36.0
0.773,110.0,32.0
0.793,120.0,37.0
0.795,150.0,45.0
0.817,170.0,51.0
0.83,190.0,57.0
0.842,190.0,58.0
0.852,220.0,65.0
0.864,250.0,74.0
0.867,260.0,77.0
0.878,250.0,76.0
0.888,310.0,92.0
0.901,340.0,100.0
0.914,360.0,110.0
0.923,380.0,110.0
0.938,430.0,130.0
0.95,430.0,130.0
0.962,440.0,130.0
0.973,400.0,120.0
0.984,370.0,110.0
0.996,360.0,110.0
1.007,280.0,83.0
1.017,250.0,74.0
1.029,160.0,47.0
1.039,140.0,42.0
1.05,120.0,35.0
1.051,93.0,28.0
1.062,100.0,31.0
1.073,53.0,16.0
1.084,67.0,20.0
1.097,58.0,17.0
1.107,43.0,13.0
1.131,160.0,49.0
1.145,400.0,120.0
1.146,380.0,110.0
1.159,440.0,130.0
1.169,280.0,85.0
1.182,130.0,40.0
1.19,96.0,29.0
1.199,65.0,20.0
1.212,59.0,18.0
1.234,40.0,12.0
1.258,33.0,10.0
1.281,22.0,6.7
1.301,19.0,5.7
1.348,10.0,3.1
1.373,11.0,3.2
1.396,6.7,2.0
1.441,9.4,2.8
1.462,7.4,2.2
1.481,7.4,2.2
1.498,9.2,2.7
