# Reference: (J,RCA,36,159,1984)
E,sigma,d_sigma
3.72,0.044,
3.9,9.2,
4.2,27.6,3.4
4.5,39.1,
4.7,22.4,3.0
5.05,28.2,4.3
5.15,43.5,
5.2,52.8,
5.26,63.6,
5.32,84.0,4.0
5.49,117.7,
5.6,109.8,8.2
5.75,108.3,
5.9,107.0,8.0
6.05,128.5,
6.2,121.3,12.9
6.41,142.0,
6.45,136.8,
6.7,126.3,8.1
6.95,122.8,3.1
7.06,134.5,
7.23,89.2,7.8
7.34,94.0,
7.45,109.3,
7.5,105.1,
7.66,135.4,
7.75,121.7,
7.8,114.8,
8.0,63.1,9.0
8.3,53.1,3.0
8.5,50.5,
8.6,49.2,
8.7,49.3,3.0
8.82,68.5,3.0
9.1,55.6,
9.35,56.9,
9.62,47.9,
9.9,40.5,
10.14,47.7,
10.4,59.4,0.33
10.66,66.1,
10.93,70.8,
11.2,66.7,
11.42,73.1,
11.7,90.0,
11.96,96.2,
12.22,104.5,
12.48,92.8,
13.0,85.6,
13.5,85.1,
14.02,74.8,
14.54,74.2,
15.04,71.6,
15.56,60.9,
16.06,61.9,
16.58,55.2,
