# Reference: (J,IZV,84,1440,2020)
E,sigma,d_sigma
2.26,239.3073,18.13857
2.528,324.19133,27.57318
2.758,519.02472,40.83323
2.982,475.79163,37.24106
3.212,669.15665,51.63056
3.435,570.18353,50.55419
3.655,592.36358,53.6274
3.877,515.12621,46.0092
4.091,641.33066,50.62002
4.31,592.70494,49.95691
4.522,501.327,44.32771
4.739,583.08329,47.34059
4.954,545.01524,43.1642
5.163,461.17018,40.59321
5.378,438.34399,33.69693
5.661,418.69701,39.88243
5.828,493.54082,40.26997
6.007,478.15945,40.91175
6.215,466.22145,41.17765
6.426,486.51456,38.99827
6.699,474.2352,42.85785
6.854,516.59459,44.85372
7.048,518.06296,43.71928
7.255,504.01045,41.15009
7.464,465.37347,43.01071
7.666,408.93584,34.97343
7.876,364.96855,31.94962
8.079,421.01336,36.85925
8.286,325.54592,27.64795
8.494,358.5627,31.29181
8.695,273.84392,27.39169
8.904,324.21706,31.01495
9.107,366.43693,30.81346
9.311,337.11683,27.69217
9.518,330.1163,29.74406
9.725,404.22593,30.90971
9.927,350.32137,32.09035
10.129,378.6025,28.3348
10.333,368.2724,29.43934
10.538,310.89873,27.76671
10.738,319.00054,24.9298
10.946,337.73723,28.32244
11.146,328.39462,29.96486
11.352,344.85153,25.30445
11.555,284.14829,22.67192
11.755,261.00647,22.57541
