# Reference: (J,HPA,41,1028,1968)
E,sigma
1.8857,1.7392
2.009,14.829
2.0909,37.716
2.1932,67.142
2.2954,103.1
2.3774,121.09
2.4805,121.1
2.5825,163.6
2.6839,232.24
2.785,310.68
2.8659,372.78
2.9893,384.23
3.0719,379.35
3.1754,361.39
3.2774,405.52
3.3787,474.16
3.482,464.37
3.5867,400.67
3.669,408.85
3.7729,374.55
3.8762,366.4
3.9781,410.53
4.0813,408.91
4.1636,413.83
4.2666,415.48
4.3901,425.3
4.4735,387.73
4.4998,385.0
4.5024,389.31
4.5212,395.77
4.5427,395.78
4.5555,404.09
4.5615,417.3
4.5776,417.31
4.5992,404.42
4.6018,428.07
4.6206,419.48
4.6394,421.64
4.6582,417.35
4.6796,387.77
4.6798,410.91
4.6986,406.62
4.7014,388.35
4.7174,409.86
4.7389,408.8
4.7604,403.44
4.7766,393.77
4.7825,394.32
4.7982,383.03
4.8008,395.93
4.817,388.41
4.8385,388.43
4.8599,392.74
4.8647,405.77
4.8787,408.88
4.8948,423.94
4.9002,406.74
4.919,417.51
4.9593,410.0
4.9809,389.59
4.9996,422.93
4.9997,413.25
5.0085,423.76
5.0184,425.09
5.04,415.43
5.0803,404.7
5.0907,435.21
5.1017,435.89
5.1018,414.39
5.1206,417.63
5.1421,414.41
5.161,403.67
5.1798,389.7
5.1951,381.31
5.1986,395.09
5.1987,382.19
5.2174,403.7
5.2551,399.42
5.2775,382.96
5.2792,408.04
5.2981,384.4
5.2982,374.72
5.317,369.35
5.3385,381.19
5.3573,381.2
5.3788,374.77
5.3805,386.24
5.3976,379.08
5.4003,388.76
5.4191,385.54
5.4353,382.33
5.4541,374.81
5.4783,375.9
5.4838,378.09
5.4971,366.23
5.4998,376.99
5.5867,384.64
5.6899,378.12
5.7721,391.21
5.9779,405.94
6.0815,381.45
6.1847,378.2
6.2878,374.95
6.3912,365.16
6.4942,365.18
6.5977,350.49
6.701,340.7
6.7828,368.49
6.8861,358.7
6.9891,360.35
7.0924,350.57
7.1953,360.39
7.2987,345.7
7.402,334.28
7.4851,311.42
7.5677,306.53
7.6708,304.91
7.7741,293.49
7.8771,298.41
8.0009,293.52
8.1039,295.17
8.2073,282.12
8.2898,282.13
8.3929,278.88
8.5171,257.66
8.62,267.48
8.703,244.62
8.8063,236.46
8.9094,234.85
9.0122,246.3
9.1157,229.98
9.219,216.92
9.3015,215.3
9.4045,218.59
9.5076,218.6
9.5898,230.05
9.6933,212.1
9.7958,233.35
9.8786,221.93
9.9817,220.31
10.105,218.7
10.188,207.27
10.27,213.82
10.374,208.93
10.477,205.68
10.58,195.9
10.703,223.69
10.807,191.03
10.89,186.14
10.992,194.33
11.096,179.64
11.178,179.65
11.281,179.67
11.385,169.88
11.467,169.89
11.591,166.65
11.694,148.69
11.88,161.79
11.962,158.53
12.458,130.84
