# Reference: (J,CJP,36,1276,1958)
E,sigma,d_sigma
6.22,1.2,
6.41,1.8,
6.57,2.3,
7.01,3.1,
7.26,3.6,
7.45,5.3,
7.8,9.0,
8.04,22.9,
8.19,34.4,
8.57,40.3,
8.77,37.0,
9.02,28.2,
9.14,24.2,
9.19,21.0,
9.31,17.7,
9.44,12.3,
9.51,11.4,
9.69,8.7,
9.84,9.0,
9.9,10.2,
10.0,13.3,
10.2,17.5,
10.4,22.0,
10.6,25.9,
10.7,32.1,
10.9,38.2,
11.1,47.3,
11.2,49.0,1.75
11.3,49.2,
11.4,45.0,
11.5,44.3,
11.6,37.1,
11.7,37.8,
11.9,31.1,
11.9,32.7,
12.0,28.6,
12.3,29.6,
12.5,27.4,
12.6,27.5,
12.6,26.4,
12.8,27.1,
12.9,29.1,
12.9,27.2,
13.1,27.1,
13.2,24.0,
13.3,24.0,
13.4,20.9,
13.5,19.1,
13.7,19.2,
13.9,19.0,
13.9,21.1,
14.1,25.1,
14.3,32.1,
14.5,38.2,
14.6,40.0,
14.9,37.7,
15.1,32.3,
15.2,29.1,
15.4,29.3,
15.6,28.6,
