# Reference: (C,94CRETE,,38,1994)
E_kev,sigma_microB,d_sigma_microB
644.0,0.00108,
664.0,0.00068,0.000314
683.0,0.00244,
703.0,0.00118,
714.0,0.00546,
724.0,0.00188,0.000508
741.0,0.00194,0.000525
744.0,0.00233,0.00057
746.0,0.00674,0.000839
748.0,0.00968,0.0012
753.0,0.0188,0.00204
757.0,0.0269,0.00265
758.0,0.0258,0.0024
762.0,0.0276,0.00258
763.0,0.0214,0.00199
767.0,0.0133,0.00145
769.0,0.0074,0.000878
772.0,0.00758,0.00101
774.0,0.00463,0.000881
777.0,0.00325,0.000702
781.0,0.00292,0.000662
787.0,0.00218,0.000558
797.0,0.0008,0.000788
807.0,0.00109,0.000373
817.0,0.00149,0.000408
822.0,0.00242,0.000487
827.0,0.00226,0.000528
831.0,0.00447,0.000746
836.0,0.00602,0.000861
841.0,0.00757,0.00102
846.0,0.0138,0.00139
853.0,0.0285,0.00272
857.0,0.0439,0.00433
862.0,0.122,0.0118
862.0,0.14,0.0128
867.0,0.68,0.0649
872.0,2.56,0.229
875.0,3.72,0.324
877.0,4.29,0.372
879.0,4.34,0.375
882.0,3.79,0.328
887.0,2.06,0.182
892.0,0.836,0.0752
897.0,0.409,0.0358
902.0,0.243,0.0214
907.0,0.151,0.0133
912.0,0.111,0.00979
917.0,0.0886,0.00786
922.0,0.0723,0.00651
926.0,0.0681,0.00606
928.0,0.069,0.00609
932.0,0.0567,0.00514
936.0,0.0338,0.00302
946.0,0.11,0.0098
948.0,0.143,0.0132
950.0,0.246,0.0229
952.0,0.257,0.0234
954.0,0.221,0.0207
954.0,0.167,0.0146
956.0,0.228,0.0217
958.0,0.13,0.0138
959.0,0.102,0.00969
960.0,0.0607,0.00609
961.0,0.14,0.0124
963.0,0.148,0.0136
965.0,0.373,0.0346
965.0,0.321,0.027
967.0,0.844,0.0747
969.0,1.83,0.158
969.0,1.67,0.145
971.0,2.81,0.244
973.0,4.0,0.331
973.0,4.01,0.338
973.0,3.99,0.333
974.0,4.56,0.382
976.0,4.73,0.406
979.0,4.53,0.387
981.0,3.78,0.324
982.0,2.79,0.238
984.0,1.71,0.149
988.0,0.767,0.0656
990.0,0.42,0.0382
992.0,0.314,0.0308
992.0,0.331,0.03
993.0,0.275,0.0255
995.0,0.237,0.0233
997.0,0.206,0.0205
999.0,0.16,0.0181
999.0,0.163,0.0168
1003.0,0.122,0.0128
1007.0,0.118,0.014
1011.0,0.382,0.0381
1013.0,0.917,0.0925
1016.0,2.04,0.187
1018.0,3.6,0.326
1020.0,5.34,0.468
1022.0,6.07,0.53
1023.0,6.8,0.556
1026.0,7.08,0.579
1026.0,5.46,0.477
1028.0,5.88,0.482
1028.0,4.46,0.399
1030.0,4.13,0.341
1030.0,2.8,0.262
1032.0,2.39,0.2
1034.0,1.59,0.157
1039.0,0.348,0.0313
1041.0,0.297,0.0271
1042.0,0.216,0.0203
1046.0,0.174,0.0157
1049.0,0.219,0.0192
1051.0,0.164,0.0144
1055.0,0.164,0.0143
1057.0,0.124,0.0112
1059.0,0.129,0.0125
1064.0,0.21,0.0191
1074.0,0.228,0.0205
1078.0,0.224,0.02
1079.0,0.237,0.0221
1084.0,0.266,0.0232
1089.0,0.323,0.0285
1094.0,0.376,0.0331
1099.0,0.412,0.0367
1102.0,0.456,0.0402
1104.0,0.453,0.0402
1106.0,0.496,0.0435
1108.0,0.579,0.0525
1110.0,0.686,0.0612
1112.0,1.15,0.103
1114.0,2.18,0.192
1116.0,3.64,0.312
1118.0,4.68,0.392
1120.0,5.25,0.444
1122.0,4.63,0.393
1124.0,3.63,0.306
1126.0,2.68,0.233
1128.0,2.22,0.195
1130.0,2.01,0.177
1132.0,1.84,0.157
1134.0,2.08,0.177
1136.0,1.5,0.125
1138.0,2.77,0.229
1140.0,11.2,0.916
1142.0,22.0,1.79
1144.0,32.7,2.65
1146.0,43.9,3.55
1148.0,43.2,3.5
1150.0,30.1,2.43
1152.0,17.8,1.45
1154.0,10.3,0.836
1156.0,8.36,0.683
1158.0,8.89,0.728
1160.0,9.72,0.799
1162.0,10.9,0.895
1164.0,10.2,0.838
1166.0,9.65,0.801
1168.0,8.29,0.69
1170.0,7.02,0.586
1172.0,5.52,0.466
1174.0,4.98,0.423
1176.0,3.92,0.329
1178.0,3.22,0.279
1180.0,2.61,0.227
1182.0,2.36,0.21
1186.0,1.7,0.155
1190.0,1.55,0.133
1194.0,1.21,0.105
1194.0,1.27,0.109
1198.0,1.02,0.0906
1202.0,0.823,0.0751
1206.0,0.757,0.0698
1210.0,0.723,0.0665
1214.0,0.688,0.061
1218.0,0.645,0.0597
1222.0,0.731,0.0667
1226.0,0.838,0.0778
1228.0,0.808,0.0729
1230.0,0.896,0.0822
1232.0,1.13,0.0972
1234.0,1.49,0.129
1237.0,1.69,0.143
1238.0,1.84,0.157
1240.0,1.73,0.149
1242.0,1.47,0.127
1244.0,1.28,0.112
1246.0,1.02,0.0893
1250.0,0.575,0.0516
1264.0,0.121,0.00991
1285.0,0.159,0.0145
1289.0,0.462,0.0403
1297.0,0.649,0.056
1331.0,3.52,0.293
1333.0,9.82,0.811
1335.0,20.5,1.67
1337.0,28.3,2.31
1339.0,30.5,2.49
1341.0,26.5,2.17
1343.0,19.2,1.57
1345.0,10.6,0.874
1347.0,7.18,0.597
1349.0,4.91,0.413
1350.0,4.36,0.368
1352.0,4.01,0.336
1354.0,3.86,0.324
1356.0,3.67,0.31
1360.0,3.54,0.296
1364.0,4.17,0.347
1368.0,4.59,0.384
1372.0,12.6,1.04
1376.0,25.9,2.12
1378.0,27.0,2.21
1380.0,23.9,1.97
1382.0,17.5,1.44
1386.0,9.3,0.773
1390.0,8.19,0.684
1394.0,8.96,0.741
1394.0,8.87,0.725
1398.0,10.5,0.861
1402.0,12.5,1.03
1406.0,16.0,1.32
1410.0,19.5,1.6
1415.0,27.6,2.25
1419.0,43.0,3.51
1423.0,69.8,5.69
1427.0,175.0,14.2
1431.0,677.0,54.8
1433.0,1300.0,105.0
1435.0,1650.0,134.0
1437.0,1820.0,148.0
1439.0,1690.0,137.0
1441.0,1240.0,100.0
1443.0,801.0,64.9
1447.0,350.0,28.5
1451.0,128.0,10.4
1455.0,72.9,5.95
1459.0,45.5,3.72
1463.0,27.9,2.28
1467.0,19.2,1.57
1471.0,12.8,1.04
1483.0,9.88,0.807
1499.0,8.69,0.703
1507.0,10.1,0.819
1516.0,15.3,1.24
1555.0,31.6,2.59
1559.0,43.6,3.6
1563.0,46.7,3.83
1567.0,56.8,4.71
1571.0,63.3,5.24
1576.0,67.4,5.59
1579.0,76.9,6.32
1583.0,84.6,6.97
1587.0,95.1,7.85
1591.0,110.0,9.05
1592.0,102.0,8.38
1592.0,113.0,9.29
1593.0,106.0,8.67
1595.0,124.0,10.1
1597.0,134.0,11.0
1599.0,144.0,11.9
1601.0,145.0,12.0
1603.0,176.0,14.5
1605.0,164.0,13.5
1607.0,219.0,18.1
1609.0,223.0,18.3
1611.0,260.0,21.2
1612.0,308.0,25.2
1612.0,254.0,20.9
1613.0,350.0,29.0
1613.0,307.0,25.1
1615.0,396.0,32.9
1616.0,356.0,29.1
1617.0,353.0,29.0
1618.0,366.0,30.1
1620.0,369.0,30.3
1622.0,356.0,29.2
1624.0,337.0,27.7
1626.0,343.0,28.1
1628.0,341.0,28.0
1630.0,349.0,28.6
1632.0,353.0,29.0
1634.0,366.0,30.0
1636.0,348.0,28.5
1638.0,352.0,28.9
1640.0,344.0,28.2
1642.0,345.0,28.3
1644.0,334.0,27.4
1646.0,335.0,27.4
1648.0,338.0,27.6
1650.0,328.0,26.8
1651.0,328.0,26.7
1652.0,323.0,26.2
1654.0,324.0,26.5
1656.0,324.0,26.5
1658.0,326.0,26.7
1662.0,322.0,26.5
1666.0,326.0,26.6
1670.0,336.0,27.5
1674.0,345.0,28.2
1678.0,356.0,29.0
1681.0,368.0,30.1
1682.0,369.0,30.2
1686.0,378.0,30.9
1689.0,407.0,33.3
1693.0,431.0,35.1
1697.0,438.0,38.1
1701.0,492.0,43.1
1706.0,516.0,44.8
1709.0,558.0,48.1
1714.0,612.0,52.1
1718.0,630.0,52.0
1722.0,684.0,57.3
1726.0,779.0,65.3
1732.0,744.0,64.4
1734.0,763.0,66.4
1736.0,800.0,69.2
1738.0,885.0,73.7
1740.0,904.0,81.1
1742.0,1090.0,95.6
1744.0,1200.0,112.0
1746.0,1230.0,112.0
1747.0,1320.0,115.0
1750.0,1430.0,128.0
1752.0,1590.0,138.0
1754.0,1710.0,148.0
1756.0,1860.0,161.0
1758.0,1950.0,169.0
1760.0,2130.0,184.0
1762.0,2170.0,188.0
1762.0,2050.0,189.0
1764.0,1980.0,171.0
1765.0,1980.0,171.0
1766.0,2350.0,221.0
1766.0,2030.0,174.0
1767.0,1940.0,168.0
1769.0,1910.0,165.0
1770.0,1850.0,161.0
