# Reference: (J,PR/C,7,1356,1973)
E,sigma
0.92708,0.002
0.94726,0.002
0.98655,0.004
1.0099,0.073
1.0184,0.005
1.0322,0.011
1.0375,0.038
1.0428,0.007
1.0577,0.004
1.0694,0.004
1.0768,0.006
1.1034,0.007
1.1108,0.007
1.1236,0.009
1.1352,0.006
1.1448,0.014
1.1501,0.017
1.1554,0.023
1.1607,0.017
1.166,0.026
1.1745,0.024
1.182,0.017
1.1873,0.021
1.1947,0.023
1.2,0.018
1.2053,0.011
1.2117,0.009
1.2202,0.012
1.2329,0.012
1.2404,0.007
1.2489,0.009
1.2584,0.014
1.2669,0.009
1.2733,0.018
1.2807,0.012
1.2871,0.011
1.2935,0.012
1.2977,0.092
1.3051,0.121
1.3105,0.019
1.3168,0.026
1.3253,0.079
1.3285,0.019
1.3328,0.013
1.3402,0.026
1.3466,0.013
1.3519,0.031
1.3583,0.016
1.3636,0.019
1.371,0.018
1.3742,0.03
1.3784,0.013
1.3859,0.019
1.3912,0.028
1.3997,0.019
1.4103,0.026
1.4156,0.031
1.4209,0.021
1.4241,0.03
1.4294,0.019
1.4347,0.097
1.4378,0.23
1.4452,0.484
1.4515,0.64
1.4579,0.593
1.4633,0.491
1.4675,0.421
1.4718,0.316
1.475,0.238
1.4793,0.148
1.4814,0.119
1.4857,0.108
1.4899,0.075
1.4984,0.058
1.5037,0.05
1.5133,0.047
1.5218,0.038
1.5271,0.055
1.5314,0.04
1.5398,0.103
1.543,0.048
1.5526,0.053
1.5568,0.06
1.5632,0.062
1.5696,0.069
1.5728,0.048
1.578,0.177
1.5887,0.069
1.594,0.096
1.5972,0.086
1.6036,0.115
1.6121,0.096
1.6142,0.128
1.6205,0.169
1.629,0.243
1.6364,0.242
1.6396,0.279
1.6449,0.296
1.6492,0.306
1.6523,0.333
1.6566,0.311
1.6619,0.325
1.6672,0.36
1.6704,0.321
1.6757,0.316
1.6789,0.308
1.6863,0.323
1.6906,0.344
1.698,0.377
1.7044,0.349
1.7097,0.41
1.7181,0.469
1.7182,0.44
1.7215,0.484
1.7289,0.535
1.7374,0.603
1.7427,0.858
1.7533,0.993
1.7565,1.282
1.7639,1.502
1.7671,1.638
1.7735,1.706
1.7798,2.164
1.7841,2.283
1.7894,2.368
1.7926,2.198
1.7958,1.944
1.8032,1.554
1.8064,1.316
1.8107,1.011
1.8149,0.79
1.8213,0.672
1.8266,0.553
1.8351,0.434
1.8425,1.52
1.8489,0.96
1.8574,0.994
1.8627,0.96
1.8669,1.045
1.8701,0.977
1.8754,0.994
1.8786,0.706
1.8882,0.825
1.8935,1.029
1.8967,0.655
1.9009,0.842
1.9084,0.723
1.9137,0.791
1.9158,1.046
1.9201,0.842
1.9232,0.69
1.9296,0.927
1.9339,0.74
1.9392,1.131
1.9434,1.555
1.9476,2.013
1.9529,3.166
1.9571,4.116
1.9613,5.218
1.9666,6.287
1.9698,5.337
1.9762,5.184
1.9815,5.049
1.9847,4.557
1.9911,3.895
1.9943,3.692
1.9996,3.353
2.0039,3.2
2.0081,3.234
2.0124,3.455
2.0187,4.795
2.0219,5.778
2.0261,6.66
2.0325,6.067
2.0378,5.541
2.0431,4.795
2.0485,4.082
2.0506,3.828
2.0559,4.167
2.0601,4.1
2.0654,4.184
2.0707,4.456
2.074,4.015
2.0761,4.608
2.0783,4.194
2.0847,4.533
2.09,5.043
2.0964,5.382
2.1017,5.552
2.1091,6.91
2.1165,8.097
2.1229,7.928
2.1271,9.964
2.1335,10.643
2.1378,11.152
2.142,13.357
2.1484,14.884
2.1526,16.75
2.1569,18.107
2.1632,18.616
2.1675,19.125
2.176,18.956
2.1823,20.483
2.1866,19.466
2.1908,19.636
2.1961,19.467
2.2004,18.788
2.2068,17.263
2.211,16.415
2.2142,15.737
2.2185,14.889
2.2248,14.211
2.2302,11.837
2.2344,10.651
2.2387,9.803
2.245,8.786
2.2514,7.09
2.2546,6.243
2.2599,4.208
2.2652,3.53
2.2705,2.682
2.2748,2.174
2.2801,2.344
2.2843,1.835
2.2907,3.023
2.2939,5.228
2.295,6.585
2.2992,8.79
2.3045,9.469
2.3098,8.96
2.3151,8.113
2.3194,6.248
2.3247,5.57
2.3311,4.892
2.3374,4.553
2.3417,4.214
2.3502,3.537
2.3544,4.046
2.3587,5.403
2.3661,12.865
2.3714,18.971
2.3756,20.159
2.3799,18.972
2.3852,13.715
2.3916,10.324
2.3969,8.119
2.4012,7.441
2.4065,11.681
2.4128,14.395
2.4171,13.887
2.4213,12.531
2.4266,10.496
2.432,7.613
2.4373,5.07
2.4447,3.713
2.4511,3.544
2.4585,3.375
2.4659,4.393
2.4734,4.903
2.4787,6.599
2.4829,7.956
2.4893,9.822
2.4946,13.554
2.501,14.911
2.5063,13.555
2.5116,10.842
2.5159,8.637
2.5212,6.603
2.5265,5.755
2.5318,5.077
2.5371,4.908
2.5414,4.739
2.5467,5.248
2.5541,6.266
2.5594,6.266
2.5636,6.097
2.57,6.267
2.5743,5.589
2.5806,6.098
2.586,6.099
2.5923,6.608
2.5976,7.287
2.6019,7.796
2.6051,8.644
2.6104,8.984
2.6167,10.171
2.622,10.681
2.6274,12.207
2.6337,12.886
2.639,13.395
2.6422,14.413
2.6496,16.449
2.656,20.181
2.6613,23.573
2.6655,25.948
2.6709,27.644
2.6762,29.51
2.6804,28.832
2.6868,26.628
2.6921,23.745
2.6974,21.032
2.7027,18.488
2.7091,17.132
2.7144,15.436
2.7197,13.911
2.7251,11.537
2.7304,10.689
2.7346,9.333
2.741,7.976
2.7463,7.129
