# Reference: (C,94CRETE,,38,1994)
E,sigma,d_sigma
0.851,2.168e-06,4.5800000000000005e-07
0.863,4.053e-06,5.494e-07
0.869,4.799e-06,6.986e-07
0.871,6.489e-06,8.298e-07
0.876,6.632e-06,7.264e-07
0.88,5.686e-06,6.002e-07
0.884,4.556e-06,4.906e-07
0.889,5.058e-06,6.189e-07
0.892,3.6960000000000003e-06,5.418e-07
0.894,3.943e-06,5.904000000000001e-07
0.898,5.044e-06,5.884000000000001e-07
0.903,6.328e-06,6.411e-07
0.91,6.6480000000000006e-06,7.202000000000001e-07
0.914,7.031e-06,6.993e-07
0.919,7.942e-06,7.911e-07
0.929,7.2220000000000005e-06,9.614e-07
0.934,8.956e-06,1.444e-06
0.9380000000000001,3.8140000000000004e-05,3.683e-06
0.9420000000000001,0.00027529999999999997,2.315e-05
0.9450000000000001,0.00042740000000000003,3.528e-05
0.9460000000000001,0.0004911,4.045e-05
0.9480000000000001,0.0004597,3.7850000000000005e-05
0.9500000000000001,0.0003885,3.231e-05
0.9520000000000001,0.0002673,2.273e-05
0.9530000000000001,0.00015989999999999998,1.414e-05
0.9550000000000001,8.874000000000001e-05,7.352e-06
0.9570000000000001,4.299e-05,3.701e-06
0.961,2.2519999999999998e-05,2.129e-06
0.966,1.933e-05,1.856e-06
0.97,2.062e-05,1.9020000000000002e-06
0.973,1.883e-05,1.8079999999999999e-06
0.974,1.926e-05,1.811e-06
0.975,1.933e-05,1.826e-06
0.98,1.85e-05,1.83e-06
0.985,2.177e-05,2.268e-06
0.99,2.4010000000000002e-05,2.186e-06
0.995,3.634e-05,3.244e-06
1.0,6.165000000000001e-05,5.307e-06
1.0050000000000001,6.412e-05,5.624e-06
1.01,5.3580000000000005e-05,4.792e-06
1.0150000000000001,4.194e-05,3.853e-06
1.0190000000000001,4.155e-05,3.7580000000000003e-06
1.025,4.8280000000000005e-05,4.493e-06
1.03,5.025e-05,4.608000000000001e-06
1.036,5.828e-05,5.118e-06
1.041,7.564e-05,6.581e-06
1.045,0.0001148,9.777e-06
1.047,0.0001472,1.2370000000000002e-05
1.049,0.0001987,1.655e-05
1.051,0.0002991,2.4740000000000004e-05
1.053,0.0003616,2.987e-05
1.056,0.0004084,3.3660000000000006e-05
1.057,0.0003946,3.261e-05
1.059,0.0003598,2.991e-05
1.061,0.00030030000000000004,2.5090000000000002e-05
1.062,0.0002296,1.942e-05
1.064,0.00016450000000000001,1.3990000000000002e-05
1.066,0.00010150000000000001,8.822e-06
1.066,9.783e-05,8.486000000000001e-06
1.068,5.81e-05,5.528e-06
1.07,4.736e-05,4.726e-06
1.071,3.5270000000000006e-05,4.0229999999999994e-06
1.072,4.028000000000001e-05,4.026e-06
1.077,3.697000000000001e-05,3.5860000000000005e-06
1.081,4.435e-05,4.112000000000001e-06
1.086,5.404e-05,4.846e-06
1.09,6.368e-05,5.583000000000001e-06
1.095,7.735000000000001e-05,6.848e-06
1.102,9.457e-05,8.168e-06
1.107,0.0001181,9.812e-06
1.112,0.0001464,1.267e-05
1.117,0.0001875,1.566e-05
1.117,0.0001828,1.551e-05
1.122,0.0002582,2.2009999999999998e-05
1.1260000000000001,0.00034350000000000006,2.946e-05
1.1320000000000001,0.0005229000000000001,4.389e-05
1.1380000000000001,0.001599,0.0001369
1.1420000000000001,0.011710000000000002,0.0009793
1.1440000000000001,0.029160000000000002,0.002421
1.1460000000000001,0.05137,0.004215
1.1480000000000001,0.06694,0.0055119999999999995
1.1500000000000001,0.08212000000000001,0.006721
1.1520000000000001,0.08468,0.006971000000000001
1.154,0.07226,0.0059440000000000005
1.156,0.05859,0.004832
1.158,0.035840000000000004,0.0029340000000000004
1.16,0.02246,0.0018470000000000001
1.161,0.01228,0.00102
1.163,0.007566,0.0006335
1.165,0.0031320000000000002,0.00025840000000000005
1.167,0.002148,0.00018240000000000002
1.169,0.001487,0.0001278
1.171,0.001224,0.0001002
1.176,0.0005311000000000001,4.4330000000000004e-05
1.182,0.0002478,2.1600000000000003e-05
1.186,0.0001719,1.5230000000000002e-05
1.191,0.00013220000000000001,1.227e-05
1.195,0.00014130000000000002,1.258e-05
1.2,0.0001367,1.261e-05
1.2,0.000126,1.206e-05
1.205,0.0001273,1.2030000000000002e-05
1.205,0.0001348,1.26e-05
1.211,0.0001295,1.2319999999999999e-05
1.215,0.00013700000000000002,1.2290000000000001e-05
1.22,0.0001485,1.295e-05
1.225,0.0001707,1.509e-05
1.23,0.0001619,1.375e-05
1.234,0.0001837,1.628e-05
1.242,0.00022789999999999998,2.101e-05
1.246,0.0002733,2.666e-05
1.2510000000000001,0.0003172,3.111e-05
1.2570000000000001,0.0012,0.00010850000000000001
1.262,0.009337999999999999,0.0007922000000000001
1.266,0.0212,0.0017350000000000002
1.268,0.028710000000000003,0.00239
1.27,0.02961,0.002478
1.2710000000000001,0.02841,0.0023769999999999998
1.276,0.01531,0.001277
1.281,0.004743000000000001,0.00039650000000000004
1.286,0.0022930000000000003,0.0001961
1.291,0.00175,0.0001519
1.296,0.00189,0.0001622
1.301,0.002819,0.0002474
1.306,0.01613,0.001359
1.311,0.1045,0.008676999999999999
1.312,0.1295,0.01076
1.315,0.18680000000000002,0.0155
1.317,0.196,0.01607
1.319,0.19240000000000002,0.01598
1.322,0.1463,0.012060000000000001
1.327,0.04945,0.0040739999999999995
1.331,0.01502,0.0012490000000000001
1.337,0.006265,0.0005192
1.341,0.004067,0.0003421
1.346,0.0026680000000000002,0.0002288
1.351,0.0023220000000000003,0.0001959
1.356,0.0022559999999999998,0.0001948
1.361,0.0024449999999999997,0.00021020000000000001
