# Reference: (J,PR/C,7,1356,1973)
E,sigma,d_sigma
1.056,0.003,0.00075
1.069,0.006,0.0015
1.089,0.001,0.00025
1.103,0.006,0.0015
1.123,0.001,0.00025
1.13,0.006,0.0015
1.143,0.012,0.003
1.154,0.114,0.0285
1.161,0.138,0.0345
1.163,0.084,0.021
1.179,0.018,0.0045
1.184,0.007,0.00175
1.204,0.007,0.00175
1.208,0.012,0.003
1.224,0.007,0.00175
1.236,0.006,0.0015
1.256,0.01,0.0025
1.265,0.01,0.0025
1.288,0.007,0.00175
1.294,0.013,0.00325
1.323,0.342,0.0855
1.323,0.048,0.012
1.326,0.249,0.06225
1.33,0.236,0.059
1.332,0.12,0.03
1.332,0.106,0.0265
1.335,0.072,0.018
1.337,0.043,0.01075
1.339,0.034,0.0085
1.348,0.022,0.0055
1.373,0.007,0.00175
1.387,0.006,0.0015
1.402,0.006,0.0015
1.422,0.007,0.00175
1.438,0.015,0.00375
1.445,0.044,0.011
1.449,0.088,0.022
1.449,0.33,0.0825
1.45,0.191,0.04775
1.452,0.455,0.11375
1.456,0.389,0.09725
1.458,0.337,0.08425
1.459,0.22,0.055
1.459,0.132,0.033
1.465,0.066,0.0165
1.472,0.037,0.00925
1.479,0.029,0.00725
1.486,0.059,0.01475
1.494,0.073,0.01825
1.497,0.125,0.03125
1.503,0.161,0.04025
1.51,0.227,0.05675
1.513,0.337,0.08425
1.515,0.477,0.11925
1.521,0.733,0.18325
1.526,0.96,0.24
1.531,1.29,0.3225
1.533,1.459,0.36475
1.538,1.393,0.34825
1.542,1.202,0.3005
1.546,0.858,0.2145
1.549,0.718,0.1795
1.553,0.535,0.13375
1.556,0.44,0.11
1.562,0.381,0.09525
1.565,0.315,0.07875
1.569,0.257,0.06425
1.573,0.213,0.05325
1.582,0.169,0.04225
1.591,0.132,0.033
1.6,0.11,0.0275
1.607,0.081,0.02025
1.614,0.059,0.01475
1.621,0.088,0.022
1.628,0.051,0.01275
1.634,0.037,0.00925
1.639,0.073,0.01825
1.648,0.044,0.011
1.652,0.081,0.02025
1.659,0.059,0.01475
1.668,0.066,0.0165
1.675,0.044,0.011
1.686,0.037,0.00925
1.695,0.051,0.01275
1.704,0.066,0.0165
1.713,0.037,0.00925
1.718,0.066,0.0165
1.724,0.044,0.011
1.727,0.073,0.01825
1.731,0.088,0.022
1.738,0.073,0.01825
1.744,0.066,0.0165
1.751,0.066,0.0165
1.758,0.044,0.011
1.762,0.059,0.01475
1.771,0.088,0.022
1.779,0.103,0.02575
1.785,0.066,0.0165
1.787,0.117,0.02925
1.792,0.081,0.02025
1.799,0.095,0.02375
1.81,0.088,0.022
1.819,0.125,0.03125
1.83,0.154,0.0385
1.837,0.191,0.04775
1.839,0.257,0.06425
1.844,0.323,0.08075
1.846,0.389,0.09725
1.853,0.616,0.154
1.857,1.202,0.3005
1.859,3.666,0.9165
1.869,13.93,3.4825
1.873,10.484,2.621
1.877,3.519,0.87975
1.878,1.393,0.34825
1.886,0.85,0.2125
1.891,0.521,0.13025
1.898,0.374,0.0935
1.903,0.147,0.03675
1.912,0.147,0.03675
1.919,0.147,0.03675
1.928,0.147,0.03675
1.937,0.147,0.03675
1.944,0.234,0.0585
1.946,0.381,0.09525
1.95,1.026,0.2565
1.957,1.084,0.271
1.959,0.908,0.227
1.962,0.41,0.1025
1.968,0.234,0.0585
1.977,0.205,0.05125
1.986,0.234,0.0585
1.995,0.293,0.07325
2.004,0.259,0.06475
2.014,0.371,0.09275
2.023,0.373,0.09325
2.033,0.374,0.0935
2.042,0.376,0.094
2.052,0.488,0.122
2.06,0.489,0.12225
2.066,0.49,0.1225
2.073,0.382,0.0955
2.078,0.712,0.178
2.084,0.384,0.096
2.089,0.824,0.206
2.097,0.826,0.2065
2.105,0.937,0.23425
2.115,1.158,0.2895
2.123,1.489,0.37225
2.13,1.71,0.4275
2.134,2.04,0.51
2.138,2.48,0.62
2.143,2.921,0.73025
2.146,3.251,0.81275
2.153,3.362,0.8405
2.157,3.802,0.9505
2.161,3.583,0.89575
2.165,3.364,0.841
2.169,3.145,0.78625
2.175,3.036,0.759
2.181,3.257,0.81425
2.183,3.807,0.95175
2.185,4.356,1.089
2.19,17.974,4.4935
2.195,19.952,4.988
2.199,16.549,4.1373
2.202,8.093,2.0233
2.208,2.933,0.73325
2.212,1.835,0.45875
2.219,1.507,0.37675
2.227,1.289,0.32225
2.235,1.29,0.3225
2.243,1.182,0.2955
2.252,1.294,0.3235
2.258,1.953,0.48825
2.264,1.955,0.48875
2.27,1.516,0.379
2.279,1.299,0.32475
2.289,1.52,0.38
2.298,1.631,0.40775
2.307,1.963,0.49075
2.313,2.293,0.57325
2.315,3.062,0.7655
2.322,4.93,1.2325
2.323,5.919,1.4798
2.328,6.908,1.727
2.332,8.117,2.0293
2.336,7.129,1.7823
2.341,5.483,1.3707
2.348,4.496,1.124
2.35,3.508,0.877
2.357,2.96,0.74
2.367,2.852,0.713
2.376,2.305,0.57625
2.386,2.197,0.54925
2.399,2.419,0.60475
2.408,2.64,0.66
2.417,3.191,0.79775
2.425,3.632,0.908
2.433,4.292,1.073
2.439,5.062,1.2655
2.443,5.941,1.4853
2.447,7.37,1.8425
2.454,11.215,2.8038
2.462,50.092,12.523
2.47,96.546,24.137
2.476,91.166,22.792
2.479,49.546,12.387
2.481,14.953,3.7383
2.484,7.816,1.954
2.49,7.817,1.9543
2.494,8.806,2.2015
2.5,10.344,2.586
2.504,13.091,3.2728
