# Reference: (J,PR,128,299,1962)
E,sigma,d_sigma
2.43,3.5,
2.45,6.0,
2.45,12.5,
2.46,58.5,
2.47,126.0,
2.48,35.0,
2.48,8.5,
2.5,8.5,
2.52,15.5,
2.53,28.5,
2.54,53.0,
2.55,92.5,
2.55,187.0,
2.56,142.0,
2.57,75.0,
2.58,19.5,
2.6,9.5,
2.63,7.5,
2.65,5.5,
2.68,9.0,
2.69,26.0,
2.7,105.0,
2.71,198.0,
2.72,139.0,
2.73,93.0,
2.74,41.0,
2.74,24.5,
2.76,18.0,
2.77,9.5,
2.79,7.0,
2.82,10.5,
2.84,16.5,
2.85,27.0,
2.86,48.0,
2.87,71.5,
2.88,83.0,
2.89,94.5,
2.9,113.0,
2.91,124.0,
2.92,142.0,
2.93,105.0,
2.93,85.5,
2.94,40.0,
2.96,24.0,
2.97,16.5,
2.99,12.0,
3.03,11.0,
3.07,13.0,
3.1,22.0,
3.12,32.5,
3.14,44.0,
3.15,61.5,
3.17,81.0,
3.18,104.0,
3.19,109.0,25.0
3.21,95.0,
3.22,80.5,
3.24,66.5,
3.26,56.5,
3.27,59.0,
3.29,69.5,
3.3,88.0,
3.31,114.0,
3.31,123.0,
3.33,115.0,
3.34,104.0,
3.35,88.0,
3.37,75.5,
3.38,58.5,
3.4,41.5,
3.42,34.0,
3.43,47.5,
3.45,32.5,
3.46,39.5,
3.47,48.5,
3.48,62.5,
3.49,83.5,
3.5,111.0,
3.52,133.0,
3.54,161.0,
3.54,196.0,
3.55,188.0,
3.57,177.0,
3.58,188.0,
3.59,210.0,
3.6,243.0,
3.61,234.0,
3.62,200.0,
3.63,172.0,
3.65,157.0,
3.66,145.0,
3.69,141.0,
3.71,135.0,
3.74,130.0,
3.75,138.0,
3.76,151.0,
3.77,166.0,
3.78,185.0,
3.8,205.0,
3.81,236.0,
3.82,278.0,
3.84,307.0,
3.85,275.0,
3.87,243.0,
3.89,227.0,
3.9,248.0,
3.91,264.0,
3.92,244.0,
3.93,199.0,
3.95,171.0,
3.96,128.0,
3.98,93.5,
3.99,75.0,
4.0,68.5,
4.03,69.5,
4.05,80.0,
4.06,105.0,
4.07,159.0,
4.09,208.0,
4.1,238.0,
4.11,228.0,
4.13,172.0,
4.14,140.0,
4.15,134.0,
4.16,138.0,
4.18,146.0,
4.19,152.0,
4.2,170.0,
4.22,206.0,
4.23,270.0,
4.24,299.0,
4.25,313.0,
4.27,330.0,
4.28,277.0,
4.29,223.0,
4.3,210.0,
4.32,222.0,
4.33,255.0,
4.34,292.0,
4.36,334.0,
4.38,368.0,
4.38,386.0,
4.39,373.0,
4.4,360.0,
4.41,316.0,
4.43,277.0,
4.44,242.0,
4.46,201.0,
4.48,145.0,
4.49,124.0,
4.5,99.5,
4.51,123.0,
4.53,234.0,
4.53,280.0,
4.54,335.0,
4.55,352.0,
4.56,305.0,
4.57,317.0,
4.59,323.0,
4.62,327.0,
4.63,315.0,
4.66,319.0,
4.67,306.0,
4.68,259.0,
4.7,198.0,
4.71,201.0,
4.72,207.0,
4.73,195.0,
4.75,174.0,
4.76,160.0,
4.78,153.0,
4.8,155.0,
4.82,166.0,
4.83,176.0,
4.84,156.0,
4.85,160.0,
4.86,262.0,
4.86,339.0,
4.88,283.0,
4.89,247.0,
4.9,219.0,
4.91,224.0,
4.92,239.0,
4.93,267.0,
4.93,278.0,
4.94,272.0,
4.96,258.0,
4.97,225.0,
4.99,177.0,
5.0,121.0,
5.02,103.0,
5.03,96.0,
5.04,100.0,
5.05,131.0,
5.06,160.0,
5.07,211.0,
5.07,280.0,
5.08,322.0,
5.1,289.0,
5.12,255.0,
5.13,270.0,
5.14,244.0,
