# Reference: (J,PR,105,1545,195703)
E,sigma
0.445,0.5
0.545,1.3
0.605,1.8
0.645,4.4
0.705,5.9
0.745,8.0
0.79,11.0
0.82,14.1
0.835,17.8
0.895,19.4
0.945,23.7
0.995,23.1
1.03,30.1
1.09,36.9
1.13,42.2
1.19,55.6
1.23,64.5
1.28,69.6
1.33,66.2
1.38,68.1
1.43,66.7
1.48,66.8
1.53,62.4
1.59,64.5
1.63,67.2
1.68,75.7
1.73,78.1
1.78,75.5
1.83,73.0
1.88,69.6
1.92,67.1
1.96,63.4
1.98,59.2
2.01,61.7
2.03,66.5
2.08,68.5
2.13,71.0
2.19,66.9
2.21,60.7
2.23,56.3
2.26,54.4
2.28,54.5
2.32,54.8
2.36,53.6
2.38,55.1
2.43,54.9
2.44,57.6
2.47,59.4
2.5,59.7
2.54,64.9
2.55,72.0
2.68,75.8
2.71,78.6
2.78,83.5
2.81,85.4
2.84,86.2
2.85,89.7
2.88,88.1
2.91,89.5
2.93,86.9
2.96,82.4
