# Reference: (J,RCA,89,357,2001)
E,sigma,d_sigma
2.43,3.6,0.4
2.52,4.6,0.5
2.56,13.5,1.6
2.65,5.9,0.7
2.75,8.1,1.0
2.77,6.9,0.8
2.85,9.4,1.0
2.86,25.4,3.0
2.91,25.7,3.0
2.97,30.1,3.5
3.07,47.3,5.6
3.13,55.8,6.6
3.18,51.2,6.0
3.28,45.5,5.4
3.34,40.2,4.7
3.43,45.3,5.3
3.49,31.1,3.7
3.49,31.7,3.7
3.54,69.0,11.2
3.59,34.7,4.1
3.62,67.0,8.2
3.65,35.0,4.1
3.69,60.2,7.1
3.69,47.3,5.6
3.8,88.3,10.4
3.85,45.6,7.4
3.87,92.3,10.9
4.19,175.0,25.5
4.3,146.2,23.8
4.56,221.7,32.4
4.57,178.8,26.2
4.59,265.3,42.6
4.81,202.5,29.6
4.91,218.3,25.7
4.96,219.3,26.2
5.02,585.9,85.5
5.04,392.6,57.4
5.25,412.0,60.1
5.35,458.6,54.1
5.46,404.6,65.0
5.65,494.1,72.1
5.85,258.4,30.5
5.94,248.5,36.3
6.12,250.6,40.8
6.21,221.9,36.1
6.24,312.5,50.2
6.26,185.2,21.8
6.27,231.2,33.8
6.47,234.5,34.3
6.73,141.0,23.0
6.75,147.8,21.6
6.78,166.7,24.4
6.86,199.7,23.5
6.9,237.0,34.7
6.94,217.2,34.9
7.04,217.9,25.7
7.37,312.1,50.8
7.6,226.8,33.2
7.61,249.2,40.0
8.1,192.1,23.3
8.19,232.7,34.0
8.58,270.5,39.6
8.77,261.9,38.3
9.04,273.3,44.5
9.1,257.9,37.7
9.11,214.4,26.0
9.64,238.4,34.9
9.74,240.4,39.1
10.11,198.1,32.2
10.46,153.7,18.4
10.49,186.0,27.2
10.49,201.0,29.3
10.74,207.5,33.8
10.77,186.0,27.2
10.94,201.8,32.9
11.21,193.7,31.5
11.33,165.6,26.4
11.55,179.1,29.2
12.26,122.6,14.6
12.69,134.1,21.8
13.26,118.0,14.6
13.37,136.0,19.9
13.84,120.2,19.6
14.06,94.2,11.2
14.12,141.7,20.7
14.27,129.8,21.1
14.5,72.1,8.6
15.33,98.1,1.6
16.01,59.5,7.1
16.22,74.5,8.8
16.93,61.0,8.9
17.3,44.6,6.5
17.42,54.9,8.0
17.72,43.7,5.2
17.95,66.6,9.7
18.01,50.3,6.0
18.18,62.5,9.1
18.2,37.9,5.5
18.65,45.1,6.6
19.04,53.5,7.8
19.34,45.7,5.4
19.58,24.1,3.5
19.93,33.0,4.8
20.51,54.6,8.0
21.63,28.2,4.1
22.93,32.5,4.8
24.49,23.3,3.4
26.46,26.4,4.3
28.31,18.3,2.7
30.02,29.0,4.7
