# Reference: (J,PR/C,8,120,1973)
E,sigma
2.518,0.2
2.528,0.1
2.535,0.1
2.545,0.1
2.553,0.2
2.559,0.2
2.567,0.2
2.572,0.4
2.576,0.8
2.577,1.2
2.579,1.5
2.583,1.8
2.586,2.2
2.591,2.5
2.597,3.3
2.602,3.8
2.609,3.9
2.614,4.7
2.618,5.7
2.624,7.4
2.628,10.1
2.632,15.8
2.636,43.9
2.638,83.9
2.642,136.3
2.643,125.5
2.646,75.2
2.649,28.0
2.651,43.6
2.651,18.2
2.655,13.0
2.658,8.9
2.663,6.4
2.671,5.5
2.68,5.1
2.686,6.2
2.689,8.3
2.694,5.8
2.701,5.9
2.71,7.1
2.716,10.3
2.725,7.8
2.733,6.4
2.743,6.5
2.752,7.2
2.757,8.8
2.76,11.4
2.762,16.6
2.766,28.1
2.769,19.3
2.77,13.1
2.774,9.0
2.783,7.1
2.791,7.2
2.802,6.8
2.812,5.9
2.819,4.0
2.827,3.0
2.836,2.6
2.847,2.8
2.858,3.0
2.866,3.1
2.873,2.7
2.881,3.8
2.889,3.4
2.897,4.0
2.904,5.7
2.915,6.4
2.921,8.5
2.931,7.6
2.94,7.8
2.949,8.9
2.96,10.6
2.966,12.8
2.973,15.5
2.98,17.7
2.985,21.4
2.99,24.6
2.992,28.7
2.994,31.4
2.996,36.1
2.999,39.2
3.001,44.4
3.004,50.2
3.007,65.3
3.007,77.2
3.008,90.2
3.01,109.9
3.015,135.4
3.016,158.8
3.019,186.3
3.02,206.6
3.025,221.7
3.029,208.3
3.031,188.1
3.032,169.4
3.035,143.5
3.037,120.7
3.039,108.3
3.043,96.9
3.045,86.1
3.047,80.9
3.05,76.8
3.052,71.6
3.056,68.6
3.059,65.0
3.063,60.9
3.067,57.8
3.071,53.7
3.077,50.2
3.083,47.2
3.089,44.1
3.096,40.6
3.101,37.6
3.107,34.0
3.114,31.0
3.12,29.0
3.127,26.5
3.133,29.2
3.135,32.3
3.138,38.6
3.141,45.9
3.144,56.3
3.145,65.2
3.148,71.9
3.152,74.1
3.153,67.4
3.155,69.5
3.159,59.7
3.162,63.9
3.168,58.8
3.168,54.1
3.17,49.4
3.177,45.4
3.184,43.4
3.193,43.0
3.2,45.2
3.208,47.4
3.214,50.1
3.219,55.8
3.221,58.5
3.225,64.2
3.226,68.9
3.228,74.1
3.231,78.9
3.233,83.6
3.236,88.3
3.239,96.6
3.241,100.3
3.243,107.0
3.245,111.7
3.249,115.4
3.254,118.6
3.255,113.4
3.259,106.2
3.26,100.5
3.264,93.8
3.264,89.7
3.267,83.0
3.27,77.3
3.272,73.2
3.275,68.1
3.278,64.0
3.281,61.4
3.284,57.8
3.285,54.7
3.291,51.2
3.296,48.1
3.304,45.6
3.312,44.2
3.321,45.4
3.329,47.0
3.332,49.7
3.336,51.8
3.339,57.0
3.343,59.7
3.347,64.4
3.348,68.1
3.35,72.2
3.352,81.1
3.353,89.9
3.356,100.9
3.359,119.6
3.365,164.8
3.369,191.3
3.372,175.3
3.374,146.3
3.378,108.4
3.379,81.5
3.382,61.8
3.384,48.3
3.386,41.6
3.389,36.5
3.394,33.4
3.399,30.4
3.408,30.5
3.414,32.2
3.422,35.4
3.428,37.6
3.434,40.2
3.442,43.5
3.447,46.1
3.45,50.3
3.454,53.0
3.457,58.7
3.461,65.0
3.463,70.7
3.466,67.2
3.466,61.5
3.469,56.3
3.472,53.2
3.476,50.2
3.482,47.7
3.487,44.1
3.494,41.6
3.5,38.1
3.506,34.5
3.513,32.0
3.52,29.0
3.528,27.0
3.536,25.1
3.542,23.1
3.553,21.7
3.563,21.3
3.572,21.5
3.581,23.1
3.589,24.3
3.595,26.5
3.6,28.6
3.606,32.8
3.612,38.1
3.617,42.8
3.622,46.0
3.626,49.2
3.629,52.9
3.633,56.6
3.638,60.8
3.642,65.5
3.646,70.2
3.655,70.9
3.658,63.7
3.659,56.9
3.662,52.8
3.663,49.2
3.666,43.0
3.673,37.9
3.673,41.1
3.678,45.8
3.681,42.7
3.682,36.5
3.686,31.4
3.691,29.4
3.696,32.0
3.699,55.4
3.701,85.6
3.706,47.2
3.707,57.1
3.713,45.3
3.715,50.5
3.718,56.7
3.721,60.4
3.724,64.6
3.726,72.4
3.73,76.6
3.732,80.3
3.736,82.9
3.742,85.6
3.75,85.2
3.756,85.8
3.761,88.0
3.77,90.2
3.776,92.9
3.786,88.3
3.791,85.3
3.798,83.8
3.808,85.0
3.815,83.5
3.824,83.7
3.827,91.0
3.828,98.8
3.831,115.4
3.834,128.4
3.836,146.6
3.839,159.6
3.841,175.8
3.843,188.8
3.848,201.3
3.848,215.8
3.85,235.6
3.855,253.3
3.859,271.0
3.859,278.8
3.864,270.5
3.865,253.9
3.869,229.6
