# Reference: (J,HPA,24,465,1951) in French
E,sigma
2.0827,2.5418
2.2908,3.0673
2.5039,7.5044
2.6745,15.169
2.8541,33.253
3.0157,49.986
3.1801,60.264
3.3529,56.931
3.5215,43.196
3.6859,61.946
3.7567,88.818
3.8392,131.59
3.9072,147.54
3.9865,157.87
4.0639,182.07
4.1207,212.07
4.1904,245.04
4.2648,253.02
4.3293,242.37
4.3947,202.88
4.4671,174.16
4.5229,158.65
4.5968,155.17
4.6726,164.9
4.7351,199.75
4.7891,258.3
4.853,333.13
4.9173,405.65
4.9825,474.3
5.0514,493.94
5.1204,487.13
5.1919,442.26
5.2516,392.33
5.3102,349.52
5.3768,332.7
5.4331,325.97
5.5047,325.62
5.5727,326.56
5.6338,323.67
5.681,312.49
5.742,286.65
5.7911,263.8
5.8465,248.66
5.9188,246.43
5.9769,262.08
6.0342,296.97
6.0783,339.62
6.1292,362.01
6.1947,360.42
6.2455,336.61
6.2952,296.29
6.3517,258.1
6.412,243.0
6.4674,259.93
6.5244,329.07
6.5705,390.69
6.6232,431.43
6.6767,442.67
6.7342,426.83
6.7857,381.0
