# Reference: (J,PR/C,83,045801,2011)
E_cm,sigma,d_sigma
0.43,36.4,15.0
0.5,31.9,10.0
0.58,28.6,14.0
0.65,28.8,14.0
0.73,28.9,10.0
0.8,28.6,10.0
0.87,27.4,10.0
0.95,26.1,7.0
1.02,23.7,7.0
1.1,26.3,6.0
1.17,21.4,7.0
1.24,21.2,5.0
1.33,20.0,5.0
1.4,19.3,7.0
1.47,17.7,5.0
1.54,17.4,6.0
1.61,17.2,7.0
1.68,16.9,6.0
1.75,17.64,7.0
1.83,18.1,5.0
1.9,18.0,6.0
1.97,17.8,6.0
2.06,17.7,7.0
2.14,17.6,7.0
2.21,17.7,5.5
2.28,19.9,6.0
2.35,22.7,7.2
2.43,24.7,7.0
2.5,28.4,5.0
2.58,28.6,8.0
2.65,31.8,5.0
2.73,33.3,5.0
2.8,34.1,8.0
2.87,35.1,7.0
2.94,34.9,5.5
3.01,35.0,6.0
3.1,33.6,5.6
3.17,32.4,7.0
3.25,31.1,6.0
3.32,30.3,5.0
3.39,29.4,6.0
3.46,27.7,6.0
3.54,26.9,5.8
3.61,25.9,6.0
3.7,24.8,6.0
3.77,24.4,6.0
3.84,23.9,5.5
3.91,22.7,5.0
3.998,22.5,5.0
4.07,22.1,4.5
4.14,20.2,4.0
4.21,18.0,4.0
4.28,15.6,3.5
4.35,13.1,3.4
4.42,11.1,3.1
4.5,11.0,2.0
4.57,10.1,2.3
4.665714,9.1,2.414
4.74,8.65,2.6774
4.814286,7.4,2.449288
4.888572,5.7,1.9
4.962857,4.9,1.8977
