# Reference: (J,PR/C,67,065803,2003)
E_cm,sigma,d_sigma
0.12,7.9,3.0
0.19,25.0,3.0
0.271,47.0,5.0
0.351,50.0,5.0
0.426,65.0,6.0
0.513,88.0,8.0
0.594,95.0,9.0
0.668,92.0,8.0
0.743,104.0,10.0
0.834,106.0,10.0
0.909,113.0,11.0
0.995,120.0,11.0
1.076,135.0,13.0
1.15,140.0,14.0
1.225,156.0,15.0
1.306,168.0,16.0
1.387,186.0,18.0
1.474,205.0,20.0
1.537,214.0,21.0
1.628,198.0,19.0
1.718,184.0,18.0
1.792,172.0,16.0
1.871,157.0,15.0
1.962,141.0,14.0
2.02,147.0,14.0
2.116,133.0,13.0
2.189,121.0,12.0
2.27,127.0,12.0
2.35,126.0,12.0
