# Reference: (J,PR/C,20,1984,1979)
E,sigma,d_sigma
0.136,8.58,0.21
0.186,18.2,0.46
0.257,35.2,0.88
0.324,50.0,1.3
0.49,73.5,1.8
0.589,85.3,2.1
0.688,91.3,2.3
0.787,99.8,2.5
0.887,102.8,2.6
0.986,102.8,2.6
1.082,98.9,2.5
1.182,113.0,2.8
1.282,122.3,3.1
1.382,128.3,3.2
1.481,146.8,3.7
1.581,182.5,4.6
1.681,207.3,5.2
1.78,216.6,5.9
1.88,200.4,5.0
1.98,186.6,4.7
2.078,169.6,4.2
2.177,161.4,4.0
2.277,155.6,3.9
2.377,142.4,3.6
2.476,144.0,3.6
2.575,140.9,3.5
2.674,127.6,3.2
2.775,132.0,3.3
2.874,129.3,3.2
2.973,130.8,3.3
