# Reference: (J,NSE,55,267,1974)
E,sigma,d_sigma
3.015,151.3,17.75
3.09,147.4,
3.202,147.7,
3.302,141.2,
3.4,141.4,
3.512,140.4,
3.596,140.6,
3.709,135.4,
3.808,134.3,
3.92,131.9,
4.009,118.5,
4.123,113.4,
4.222,109.5,
4.321,104.4,
4.407,100.5,
4.488,106.2,
4.605,92.85,
4.701,98.56,
4.803,87.92,
4.899,92.27,
4.998,88.45,
5.096,87.35,
5.209,83.56,
5.297,74.25,
5.393,78.6,
5.502,84.35,
5.617,77.84,
5.699,82.15,
5.8,74.24,
5.896,78.59,
6.007,80.25,
6.12,76.46,
6.218,76.73,
6.317,72.9,
6.415,73.17,
6.513,70.7,
6.597,70.93,
6.71,68.5,
6.809,66.04,
6.907,63.58,
6.991,62.44,
7.118,61.42,
7.165,61.51,
7.202,60.28,
7.3,60.54,
7.368,57.51,
7.398,58.08,
7.509,59.74,
7.568,56.26,
7.744,51.55,
7.968,52.4,
8.45,51.34,
8.932,49.59,
9.471,47.89,
9.956,44.08,
10.95,39.92,
11.97,37.84,
