# Reference: (J,PR/C,30,1375,198411)
E_cm,sigma,d_sigma
2.8,1.3,0.23
2.81,2.3,0.27999999999999997
2.82,2.9,0.3
2.84,3.4,0.31
2.85,4.2,0.34
2.86,4.8999999999999995,0.35
2.88,5.4,0.37
2.89,5.8999999999999995,0.39
2.9,6.6,0.43
2.91,7.4,0.47
2.92,8.3,0.53
2.94,9.1,0.57
2.95,9.799999999999999,0.6
2.96,11.0,0.64
2.97,11.0,0.69
2.99,12.0,0.74
3.0,13.0,0.79
3.01,14.0,0.82
3.03,14.0,0.86
3.04,15.0,0.91
3.05,16.0,0.9600000000000001
3.07,17.0,0.99
3.08,18.0,1.1
3.09,18.0,1.1
3.1,19.0,1.2
3.12,20.0,1.2
3.13,22.0,1.3
3.14,23.0,1.4
3.15,25.0,1.5
3.16,27.0,1.6
3.18,30.0,1.8
3.19,32.0,1.9
3.21,35.0,2.0
3.22,37.0,2.2
3.23,38.0,2.2
3.24,39.0,2.3
3.25,39.0,2.3
3.27,38.0,2.2
3.28,38.0,2.2
3.29,37.0,2.1
3.31,36.0,2.1
3.32,34.0,2.0
3.33,33.0,1.9
3.34,32.0,1.9
3.36,32.0,1.9
3.37,31.0,1.8
3.38,31.0,1.8
3.4,30.0,1.8
3.41,30.0,1.8
3.42,30.0,1.8
3.44,29.0,1.7
3.45,29.0,1.7
3.46,29.0,1.7
3.47,29.0,1.7
3.49,29.0,1.7
3.5,30.0,1.7
3.51,32.0,1.9
3.52,38.0,2.2
3.53,42.0,2.4
3.55,44.0,2.6
3.56,45.0,2.6
3.57,47.0,2.7
3.58,48.0,2.8
3.6,49.0,2.9
3.61,51.0,3.0
