# Reference: (J,NP/A,357,279,198104)
E,sigma,d_sigma
4.39,1.0,0.1
4.4,1.9,0.1
4.41,2.0,0.3
4.42,2.8,0.3
4.43,3.8,0.2
4.44,3.9,0.3
4.45,3.9,0.4
4.46,3.8,0.4
4.47,4.5,0.2
4.48,4.7,0.2
4.49,4.9,0.3
4.5,4.9,0.3
4.51,4.9,0.3
4.52,5.1,0.3
4.53,5.4,0.4
4.54,5.7,0.4
4.55,5.8,0.4
4.56,7.2,0.2
4.57,7.6,0.2
4.58,8.0,0.2
4.59,8.5,0.3
4.6,8.6,0.2
4.61,9.0,0.2
4.62,9.4,0.2
4.63,9.9,0.2
4.64,10.1,0.2
4.65,10.5,0.2
4.66,10.8,0.2
4.67,11.3,0.2
4.68,11.7,0.2
4.69,12.1,0.2
4.7,12.7,0.3
4.71,13.2,0.3
4.72,13.2,0.2
4.73,13.7,0.3
4.74,14.1,0.3
4.75,14.4,0.3
4.76,14.8,0.3
4.77,15.2,0.3
4.78,15.7,0.3
4.79,15.9,0.3
4.8,16.2,0.3
4.81,16.6,0.3
4.82,16.6,0.3
4.83,17.0,0.3
4.84,17.4,0.3
4.85,17.5,0.3
4.86,17.8,0.3
4.87,18.5,0.3
4.88,18.8,0.3
4.89,19.1,0.3
4.9,19.7,0.3
4.91,20.2,0.3
4.92,20.9,0.3
4.93,22.3,0.3
4.94,22.5,0.3
4.95,23.0,0.3
4.96,24.3,0.4
4.97,25.4,0.4
4.98,26.5,0.4
4.99,27.5,0.5
5.0,28.4,0.5
5.01,29.4,0.5
5.02,30.3,0.5
5.03,31.2,0.5
5.04,32.2,0.5
5.05,32.9,0.5
5.06,33.5,0.5
5.07,33.8,0.6
5.08,33.9,0.6
5.09,33.8,0.6
5.1,33.4,0.5
