# Reference: (J,PR/C,11,370,1975)
E,sigma
0.411,1.5
0.411,1.7
0.463,4.7
0.47,4.4
0.561,23.1
0.568,25.1
0.662,77.7
0.671,83.2
0.754,136.4
0.772,132.5
0.865,117.0
0.871,114.1
0.957,98.3
0.962,111.5
0.971,112.5
1.062,115.8
1.071,110.2
1.159,109.7
1.166,111.7
1.172,103.8
1.257,129.0
1.261,118.3
1.275,121.0
1.356,132.2
1.365,131.5
1.456,149.0
1.463,142.6
1.468,139.0
1.556,163.1
1.656,163.3
1.751,165.5
1.853,165.5
1.951,168.4
2.053,170.2
2.152,177.7
2.252,178.2
2.343,187.0
2.447,183.6
2.546,179.2
2.644,181.2
2.739,186.5
2.839,191.4
2.938,196.4
3.036,202.1
3.131,201.8
3.233,206.4
3.329,218.9
3.428,211.8
3.527,194.0
3.624,179.0
3.724,176.9
3.825,155.9
