# Reference: (J,NP,61,661,1965)
E,sigma,d_sigma
0.301,0.0012,7.865e-06
0.309,0.0042,2.875e-05
0.3206,0.0132,8.941e-05
0.3295,0.0304,0.0002
0.3399,0.0588,0.003
0.3503,0.111,0.003
0.3522,0.1241,0.003
0.354,0.1371,0.003
0.3545,0.1467,0.001
0.3561,0.1698,0.003
0.3576,0.2416,0.003
0.3602,0.7964,0.003
0.3618,1.041,0.003
0.3644,0.9367,0.003
0.366,0.8323,0.003
0.3681,0.7116,0.003
0.3704,0.6202,0.003
0.3751,0.5223,0.003
0.38,0.5419,0.003
0.3904,0.6659,0.003
0.4006,0.9205,0.003
0.4099,1.265,0.0086
0.4198,1.792,0.0121
0.4296,2.366,0.016
0.4404,3.054,0.0207
0.4502,4.033,0.0273
0.461,4.97,0.0337
0.4708,5.983,0.0405
0.4807,7.204,0.0488
0.4924,8.674,0.0588
0.5022,10.44,0.0707
