# Reference: (J,IZV,37,(9),1967,197309). Data in arbitrary units.
E,sigma_arb_units
1.97,34.95
1.979,35.36
1.998,31.96
2.025,35.7
2.055,35.17
2.058,34.15
2.076,34.7
2.079,33.53
2.105,34.5
2.131,35.45
2.165,36.94
2.195,36.61
2.201,34.43
2.203,37.08
2.23,37.56
2.269,37.36
2.292,35.87
2.295,38.45
2.326,37.64
2.342,38.65
2.37,38.73
2.37,38.86
2.378,39.47
2.385,37.03
2.387,36.03
2.399,38.66
2.4,38.19
2.437,38.6
2.448,34.75
2.467,38.07
2.488,37.66
2.516,38.0
2.523,38.75
2.552,38.62
2.572,38.22
2.589,39.16
2.59,38.62
2.617,39.1
2.645,39.51
2.675,39.11
2.685,38.77
2.692,39.85
2.721,39.72
2.738,40.2
2.757,40.4
2.776,40.54
2.777,40.2
2.815,40.21
2.859,41.3
2.87,40.96
2.908,41.1
2.935,41.44
2.966,40.77
3.018,42.54
3.074,43.22
3.096,41.74
3.13,43.63
3.183,45.13
3.186,43.99
3.239,45.68
3.304,46.23
3.31,47.39
3.41,45.84
3.412,45.16
3.436,46.73
3.481,44.43
3.541,43.29
3.575,44.58
3.619,42.62
3.691,40.74
3.708,41.21
3.763,38.73
3.812,38.11
3.852,37.86
3.92,36.97
3.923,36.18
3.99,35.92
4.036,36.17
4.079,34.79
4.125,35.03
4.165,34.73
4.213,34.36
4.242,34.4
4.329,33.57
4.338,34.22
4.426,32.97
4.447,32.68
4.513,32.37
4.532,33.16
4.592,31.5
4.632,31.49
4.688,31.31
4.736,31.71
4.764,31.19
4.831,32.13
4.852,30.65
4.939,30.93
4.94,29.79
5.019,28.71
5.058,29.05
5.117,27.71
5.166,28.12
5.223,27.04
5.305,26.18
5.321,26.31
5.417,25.85
5.431,25.25
5.524,25.25
5.567,24.4
5.62,25.06
5.696,22.59
5.728,23.79
5.835,23.96
5.851,24.01
5.989,22.54
5.997,24.19
6.092,23.09
6.152,23.26
6.207,22.7
6.342,22.45
6.456,22.33
6.469,22.36
6.611,21.54
6.653,21.38
6.755,21.15
6.818,20.25
6.88,20.69
7.011,19.74
7.044,20.04
