# Reference: (J,AE,1,(4),149,1956)
E,sigma_arb_units,d_sigma_arb_units
1.061,13.09,0.264
1.19,13.03,0.264
1.278,13.49,0.33
1.421,13.82,0.264
1.543,14.55,0.264
1.652,14.95,0.264
1.753,16.74,0.395
1.882,19.05,0.264
1.977,19.18,0.33
2.093,18.92,0.396
2.208,18.4,0.528
2.296,19.85,0.263
2.439,19.86,0.264
2.541,20.85,0.264
2.636,21.11,0.594
2.744,20.99,0.263
2.853,21.12,0.527
2.941,21.32,0.264
3.05,21.98,0.198
3.158,22.38,0.264
3.247,21.93,0.329
3.376,23.45,0.264
3.464,23.98,0.527
3.579,25.1,0.461
3.728,25.96,0.33
3.817,24.91,0.527
3.959,23.2,0.33
4.041,22.02,0.396
