# Reference: (J,IZV,50,(1),65,198601)
E,sigma,d_sigma
2.104,167.0,0.8
2.153,168.0,1.0
2.202,172.0,1.0
2.254,175.0,1.0
2.309,178.0,1.4
2.359,179.0,1.0
2.411,179.0,1.4
2.463,178.0,1.4
2.517,177.0,1.4
2.567,178.0,1.4
2.624,181.0,1.4
2.675,183.0,1.0
2.72,184.0,1.0
2.764,190.0,1.5
2.811,190.0,1.5
2.858,193.0,1.5
2.907,197.0,1.5
2.957,199.0,0.9
3.01,201.0,1.1
3.062,204.0,1.1
3.116,208.0,1.6
3.161,213.0,0.9
3.194,214.0,0.9
3.228,218.0,1.1
3.264,220.0,1.1
3.299,222.0,0.9
3.335,221.0,1.1
3.371,220.0,1.1
3.41,219.0,1.1
3.447,216.0,1.1
3.486,214.0,1.1
3.526,210.0,1.1
3.566,204.0,1.1
3.605,201.0,0.8
3.647,198.0,1.1
3.69,192.0,1.1
3.748,188.0,1.1
3.807,184.0,1.1
3.876,177.0,1.1
3.934,176.0,1.1
3.997,174.0,1.1
4.061,170.0,1.1
4.126,170.0,1.1
4.195,165.0,1.1
4.264,166.0,1.1
4.335,164.0,1.1
4.409,163.0,1.1
4.483,161.0,1.2
4.561,160.0,0.6
4.64,157.0,0.7
4.721,156.0,0.8
4.804,153.0,1.1
4.891,149.0,1.1
4.978,145.0,0.7
5.069,142.0,1.1
5.091,142.0,1.1
5.156,139.0,0.7
5.223,136.0,0.9
5.289,133.0,0.9
5.361,131.0,0.9
5.431,130.0,0.9
5.504,128.0,0.8
5.579,127.0,0.9
5.656,125.0,0.9
5.734,123.0,0.9
5.816,122.0,0.9
5.893,121.0,0.8
5.982,120.0,0.8
6.07,118.0,0.8
6.155,118.0,0.6
6.247,117.0,0.7
6.336,117.0,0.8
6.429,115.0,0.7
6.527,114.0,0.6
6.626,112.0,0.7
6.726,110.0,0.5
6.83,109.0,1.2
6.936,106.0,0.8
7.011,105.0,0.6
7.122,103.0,0.6
7.234,101.0,0.6
7.351,100.0,0.6
7.469,98.3,0.6
7.548,97.5,0.5
7.631,97.4,0.6
7.716,96.9,0.6
7.802,95.5,0.5
7.886,95.8,0.6
7.978,94.8,0.6
8.067,94.1,0.4
8.161,92.2,0.6
8.26,91.0,0.6
8.351,89.7,0.6
8.445,88.1,0.8
8.542,86.8,0.6
8.638,87.3,0.6
8.742,86.2,0.6
8.842,86.6,0.6
8.947,85.1,0.6
9.051,84.6,0.6
9.162,82.0,0.6
9.277,81.1,0.6
9.387,80.6,0.6
9.5,79.4,0.6
9.61,79.6,0.6
9.732,77.6,0.6
9.851,76.5,0.6
9.976,75.7,0.6
10.1,74.1,0.6
