# Reference: (J,SAP,2,(3),107,1979)
E,sigma,d_sigma
0.7,110.0,10.0
0.72,135.0,12.0
0.74,153.0,14.0
0.76,167.0,15.0
0.78,171.0,16.0
0.8,173.0,16.0
0.82,169.0,16.0
0.84,161.0,15.0
0.86,157.0,14.0
0.88,146.0,13.0
0.9,142.0,13.0
0.92,138.0,13.0
0.94,135.0,12.0
0.96,136.0,12.0
0.98,139.0,13.0
1.0,148.0,14.0
1.02,160.0,15.0
1.04,166.0,15.0
1.06,159.0,15.0
1.08,148.0,14.0
1.1,139.0,13.0
1.12,136.0,12.0
1.14,137.0,12.0
1.16,138.0,13.0
1.18,141.0,13.0
1.2,143.0,13.0
1.22,147.0,13.0
1.24,151.0,13.0
1.26,153.0,14.0
1.28,158.0,14.0
1.3,156.0,14.0
1.32,161.0,14.0
1.34,163.0,15.0
1.36,170.0,16.0
1.38,170.0,16.0
1.4,174.0,16.0
1.42,177.0,16.0
1.44,181.0,17.0
1.46,184.0,16.0
1.48,186.0,16.0
1.5,188.0,16.0
1.52,191.0,17.0
1.54,193.0,17.0
1.56,196.0,17.0
1.58,196.0,17.0
1.6,197.0,17.0
1.62,200.0,18.0
1.64,203.0,18.0
1.66,203.0,18.0
1.68,204.0,18.0
1.7,206.0,18.0
1.72,204.0,18.0
1.74,206.0,18.0
1.76,207.0,18.0
1.78,208.0,18.0
1.8,209.0,18.0
1.82,209.0,18.0
1.84,208.0,18.0
1.86,208.0,18.0
1.88,207.0,18.0
1.9,207.0,18.0
1.95,208.0,18.0
2.0,210.0,18.0
2.05,210.0,18.0
2.1,213.0,19.0
2.15,216.0,19.0
2.2,221.0,20.0
2.25,224.0,20.0
2.3,228.0,20.0
2.35,230.0,20.0
2.4,232.0,21.0
2.45,230.0,20.0
2.5,231.0,21.0
2.55,231.0,21.0
2.6,235.0,21.0
2.65,235.0,21.0
2.7,237.0,21.0
2.75,238.0,21.0
2.8,243.0,22.0
2.85,243.0,22.0
2.9,248.0,22.0
2.95,249.0,22.0
3.0,255.0,23.0
3.05,256.0,23.0
3.1,262.0,23.0
3.15,270.0,24.0
3.2,273.0,24.0
3.25,277.0,24.0
3.3,278.0,24.0
3.35,278.0,24.0
3.4,274.0,24.0
