# Reference: (J,NP/A,263,389,197606)
E,sigma
0.6081,59.54
0.6406,86.54
0.6569,103.2
0.6677,116.0
0.6812,126.3
0.6867,135.1
0.7056,151.7
0.7164,162.1
0.7273,166.0
0.7327,170.0
0.7462,173.9
0.7516,176.3
0.7544,178.7
0.7652,179.4
0.7733,181.0
0.7814,179.4
0.7896,176.1
0.7977,175.3
0.8085,170.1
0.8221,167.2
0.8302,163.2
0.8545,156.7
0.8762,147.8
0.9087,142.0
0.925,139.6
0.9358,138.7
0.9466,137.9
0.9656,142.6
0.9818,148.1
0.9954,153.6
1.006,161.6
1.022,164.7
1.036,168.6
1.047,163.0
1.066,153.3
1.079,146.1
1.106,139.5
1.133,137.8
1.163,140.9
1.204,145.5
1.236,150.2
1.257,154.3
1.276,157.5
1.299,160.2
1.377,174.2
1.391,175.0
1.396,178.2
1.415,180.5
1.429,180.4
1.442,184.3
1.456,185.9
1.477,190.6
1.488,191.3
1.504,192.0
1.515,194.4
1.526,195.9
1.542,196.7
1.556,199.8
1.61,205.1
1.667,208.9
1.718,211.8
1.721,213.4
1.773,214.0
1.859,214.4
1.884,215.1
1.94,215.6
