# Reference: (J,NP,33,449,1962)
E,sigma,d_sigma
1.43,14.2,2.38
1.5,16.34,2.68
1.51,13.06,
1.59,17.29,2.69
1.67,19.44,2.68
1.76,21.59,2.97
1.84,23.44,2.97
1.93,25.6,3.57
2.02,28.64,1.78
2.02,30.43,2.37
2.12,32.29,3.88
2.2,37.12,4.76
2.31,42.3,5.96
2.42,48.89,6.24
2.52,55.51,6.55
2.62,62.45,7.14
2.72,71.15,8.33
2.83,80.46,8.63
2.93,86.1,9.82
3.03,86.57,
3.06,88.67,10.12
3.18,86.09,9.82
3.29,76.66,9.21
3.4,64.83,7.74
3.48,47.93,5.95
3.52,52.72,6.85
3.57,42.04,5.06
3.66,32.89,4.46
3.76,29.4,3.87
3.86,22.03,3.28
3.97,17.35,2.68
4.07,13.56,2.08
4.18,10.97,1.78
4.28,9.56,1.18
4.39,13.22,2.08
4.49,10.61,1.49
4.6,9.81,1.77
4.72,13.18,1.48
4.83,8.21,1.49
