# Reference: (J,NP/A,455,179,86)
E_cm,sigma,d_sigma
0.0246,4.3e-05,9e-06
0.033,0.00043,4e-05
0.0414,0.00175,5e-05
0.0629,0.0167,0.0004
0.0845,0.0598,
0.106,0.142,
0.128,0.255,
0.15,0.405,
0.17200000000000001,0.587,
0.194,0.781,
0.216,1.01,
0.23800000000000002,1.21,
0.26,1.45,
0.28200000000000003,1.65,
0.295,1.8,
0.304,1.89,
0.326,2.19,0.05
0.34800000000000003,2.35,
0.368,2.53,
0.39,2.69,
0.41200000000000003,2.91,
0.434,3.09,
0.456,3.26,
0.47800000000000004,3.49,
0.5,3.69,
0.522,3.89,
0.544,4.08,
0.5660000000000001,4.18,
0.587,4.35,
0.609,4.43,
0.631,4.65,
0.653,4.77,
0.675,4.99,
0.6970000000000001,5.15,
0.719,5.41,
0.741,5.35,
0.763,5.61,
0.785,5.76,
0.807,5.96,
0.8290000000000001,6.11,
0.851,6.25,
0.873,6.33,
