# Reference: (J,NP,60,(4),588,1964)
E,sigma,d_sigma
3.0116,130.69,4.3061
3.5066,68.981,4.2036
4.0061,25.517,2.8707
4.1079,19.88,3.3834
4.2197,16.293,3.2808
4.3367,13.527,3.2808
4.4333,10.35,3.1783
4.5044,9.9413,3.0758
4.5552,8.8143,3.0758
4.6111,7.8925,2.7682
4.6772,7.8935,2.8707
4.8143,7.7931,2.6657
4.8701,8.8193,3.2808
4.9259,10.666,2.7682
4.9868,12.307,3.0758
5.0578,15.281,3.5884
5.2248,30.253,3.4859
5.3765,49.428,3.6909
5.5487,62.451,3.896
5.7162,64.402,3.7935
5.8888,67.48,3.9985
6.0519,51.899,3.0758
6.23,42.162,3.5884
6.3978,37.858,3.2808
6.5808,34.375,3.1783
6.9414,34.688,2.9733
7.3227,24.339,3.1783
7.6986,23.935,3.5884
7.902,17.992,3.4859
8.1001,15.944,3.4859
8.3033,14.82,3.5884
8.5014,15.438,3.7935
8.7045,15.441,3.6909
8.9076,17.392,3.6909
9.1361,18.831,3.4859
9.3443,19.449,2.8707
9.5577,18.53,3.3834
9.9996,17.307,3.6909
10.457,16.084,2.7682
10.919,16.911,2.4606
11.391,16.201,2.6657
11.864,15.901,2.5631
