# Reference: (J,NIM,133,253,1976) graph.data
E,sigma
1.8813,2.3
1.8819,4.9
1.8825,14.0
1.8834,25.0
1.8841,42.0
1.8848,58.3
1.8856,81.2
1.8863,101.4
1.887,119.1
1.8878,138.8
1.8886,158.0
1.8893,174.0
1.89,185.5
1.8907,196.7
1.8914,207.8
1.8922,218.0
1.893,222.7
1.8937,234.7
1.8944,237.4
1.8952,245.5
1.896,250.7
1.8967,254.6
1.8974,258.6
1.8981,263.3
1.8988,265.4
1.8996,269.5
1.9011,273.6
1.9026,277.8
1.904,280.2
1.9055,284.1
1.907,285.2
1.9085,257.3
1.9085,284.4
1.91,286.5
1.9115,283.7
1.9129,283.6
1.9144,281.4
1.9159,279.5
1.9174,278.5
1.9189,277.0
1.9204,278.5
1.9218,281.5
1.9218,277.6
1.9233,277.5
1.9248,277.2
1.9263,276.6
1.9278,276.7
1.9293,275.0
1.9308,275.0
1.9323,275.4
1.9338,274.7
1.9353,276.1
1.9367,276.0
1.9382,275.7
1.9397,276.1
1.9412,277.0
1.9427,277.0
1.9442,278.7
1.9457,278.6
1.9472,276.6
1.9487,277.4
1.9502,277.8
1.9517,277.2
1.9532,277.0
1.9547,274.3
1.9562,276.0
1.9577,275.3
1.9592,275.5
1.9607,275.4
1.9622,273.8
1.9637,275.8
1.9652,274.0
1.9667,275.4
1.9682,274.2
1.9697,274.2
1.9712,274.8
1.9727,272.2
1.9742,273.9
1.9758,273.5
1.9773,273.8
1.9788,273.1
1.9803,273.6
1.9818,272.6
1.9833,273.7
1.9848,271.9
1.9863,273.6
1.9878,273.5
1.9893,273.8
1.9909,274.6
1.9924,272.9
1.9939,275.3
1.9954,275.9
1.9969,274.0
1.9984,275.0
2.0,274.3
2.0015,274.0
2.003,276.1
2.0045,273.9
2.006,275.6
2.0075,275.5
2.0091,274.7
2.0106,274.6
2.0121,275.0
2.0136,278.3
2.0136,274.2
2.0152,273.6
2.0167,273.1
2.0182,273.5
2.0197,272.5
2.0212,274.7
2.0243,274.4
2.0274,273.7
2.0304,274.5
2.0335,277.3
2.0365,276.7
2.0396,279.7
2.0427,278.1
2.0457,280.2
2.0488,282.0
2.0519,282.2
2.0549,286.4
2.058,315.0
2.0611,288.4
2.0642,289.9
2.0673,292.6
