# Reference: (J,JPJ,15,(5),741,196005)
E,sigma
2.8929,47.597
3.5698,138.71
4.1428,214.66
4.6728,219.51
5.2999,262.39
5.6767,296.22
6.1654,293.81
6.5328,212.82
6.9307,170.79
7.2571,148.92
7.6081,129.97
7.9042,123.05
8.2593,102.06
8.5851,84.489
8.9193,95.897
9.2412,86.683
9.5223,77.263
9.8125,66.932
10.105,62.477
10.369,60.747
10.626,61.059
10.898,58.646
11.157,58.942
11.419,52.685
11.667,50.285
11.943,49.455
12.181,48.843
12.407,52.102
12.654,50.366
12.883,47.055
13.125,46.22
13.335,41.782
13.579,40.494
13.808,40.799
14.002,45.204
14.214,44.798
14.405,43.981
14.594,39.769
14.813,39.612
15.012,40.148
