# Reference: (J,PR,114,571,1959)
E,sigma
1.882,1.2
1.884,9.4
1.885,1.46
1.886,1.71
1.887,1.9
1.89,2.07
1.892,2.21
1.896,2.37
1.902,2.48
1.909,2.56
1.921,2.65
1.932,2.7
1.945,2.69
1.957,2.71
1.97,2.71
1.981,2.7
1.988,2.71
2.001,2.68
2.015,2.71
2.027,2.71
2.037,2.8
2.052,2.81
2.068,2.88
2.081,2.95
2.103,3.12
2.127,3.42
2.147,3.78
2.163,3.89
2.178,4.33
2.192,4.53
2.193,4.63
2.204,5.01
2.218,5.34
2.233,5.59
2.247,5.79
2.261,5.74
2.277,5.7
2.287,5.33
2.305,5.15
2.319,4.83
2.335,4.65
2.362,4.15
2.375,3.93
2.387,
2.392,3.86
2.405,3.63
2.42,3.5
2.45,3.4
2.594,
2.808,
3.032,
3.264,
3.504,
3.752,
4.009,
4.274,
4.548,
4.829,
4.973,
5.119,
5.267,
5.418,
