# Reference: (J,AE,2,171,1957)
E,sigma
1.84,30.5741
2.272,68.238
2.649,149.2134
3.021,242.085
3.401,314.563
3.831,302.08
4.189,320.1499
4.567,339.9317
4.829,401.288
5.129,356.4274
5.294,403.2756
5.598,403.4634
5.856,420.621
6.071,383.3579
6.332,334.2235
6.564,308.0195
6.797,279.2662
6.97,247.0765
7.185,212.3626
7.392,198.0423
7.392,198.0423
7.637,193.0942
7.828,168.5646
8.035,155.9438
8.283,141.6486
8.428,134.0887
8.671,132.5395
8.848,127.788
9.048,115.991
9.246,107.9182
9.477,106.5712
9.622,98.4656
9.908,94.172
10.088,86.0884
10.266,84.7084
10.446,78.1144
10.623,78.2242
10.784,76.0884
11.034,73.2626
11.265,71.1708
11.461,69.8018
11.533,66.1214
