# Reference: (J,PR,108,1294,195712)
E,sigma_B
1.8796,0.00052137
1.8798,0.00051856
1.8799,0.001081
1.88,0.0016437
1.8802,0.0031471
1.8803,0.0065324
1.8805,0.0097304
1.8805,0.014247
1.8806,0.018198
1.8807,0.022526
1.8809,0.031935
1.881,0.037956
1.8811,0.043037
1.8812,0.046799
1.8813,0.050939
1.8814,0.056772
1.8815,0.060536
1.8816,0.071451
1.8818,0.078412
1.882,0.085751
1.8822,0.092524
1.8824,0.10156
1.8826,0.10682
1.8828,0.11303
1.883,0.11717
1.8833,0.12281
1.8836,0.13146
1.884,0.13861
1.8846,0.14952
1.8852,0.16061
1.8858,0.16851
1.8864,0.17433
1.887,0.17941
1.888,0.1841
1.888,0.18918
1.889,0.19575
1.89,0.19912
1.891,0.20513
1.892,0.21057
1.893,0.21225
1.894,0.21261
1.895,0.21711
1.896,0.22293
1.898,0.2244
1.9,0.22738
1.902,0.22716
