# Reference: (J,PRL,121,042701,2018)
E,sigma_B,d_sigma_B
,0.000636029,2.2083e-06
,0.000801852,1.64084e-06
,0.00100419,1.94915e-06
,0.00126192,2.80329e-06
,0.00156522,4.97736e-06
,0.00194981,9.45554e-06
,0.00245524,1.48907e-05
,0.00310868,2.13894e-05
,0.00389002,3.05685e-05
,0.00484981,4.29795e-05
,0.00616811,6.10254e-05
,0.00776647,8.58848e-05
,0.00989503,0.000121288
,0.0122015,0.000166751
,0.0158243,0.000240698
,0.0190908,0.00032453
,0.0250549,0.000466191
,0.0313257,0.000647448
,0.0386346,0.000892906
,0.050671,0.00128494
,0.0611855,0.00174813
,0.0742568,0.00257204
,0.0899354,0.00330836
,0.110928,0.00449733
,0.143127,0.00638783
,0.145422,0.00769881
,0.17464,0.0107257
,0.202547,0.0136998
,0.263623,0.0200285
,0.228029,0.0206869
,0.281389,0.0265153
,0.385957,0.0419384
,0.283702,0.0451558
,0.259615,0.0533131
,0.161268,0.0463826
,0.373611,0.0887897
,0.588877,0.114457
