# Reference: (J,IZV,81,717,2017)
E,sigma,d_sigma_percent
1.947,273.7,3.0
1.947,293.6,3.8
2.666,280.3,1.3
2.666,292.6,6.4
3.3,295.2,1.9
3.3,295.0,3.5
3.96,298.7,2.9
3.96,308.6,2.2
4.56,373.8,1.2
4.56,380.5,1.3
5.14,412.7,1.4
5.14,430.0,4.0
5.78,296.5,1.3
5.78,299.8,3.1
6.35,224.3,3.6
6.35,238.3,7.2
6.91,191.3,1.5
6.91,180.0,3.1
7.46,147.4,2.5
7.46,150.9,9.6
7.76,125.3,2.7
7.76,127.7,3.4
8.0,114.9,1.1
8.0,100.0,4.6
8.64,101.9,4.2
8.64,96.3,7.2
9.09,76.6,2.5
9.09,75.2,6.3
9.62,81.5,2.0
9.62,78.9,2.8
10.16,66.8,1.3
10.16,65.2,8.1
