# Reference: (J,PR/C,53,2486,199605)
E,sigma,d_sigma
0.366328,0.000473,0.000124
0.37629199999999996,0.000709,0.000129
0.38626,0.0011099999999999999,0.00017700000000000002
0.39623,0.00149,0.00025
0.406203,0.00252,0.000403
0.41097000000000006,0.0031999999999999997,0.000598
0.416178,0.0036,0.000495
0.420918,0.00505,0.0008139999999999999
0.426155,0.00569,0.0007390000000000001
0.43086900000000006,0.00656,0.0009620000000000001
0.436135,0.00851,0.00122
0.44082400000000005,0.0106,0.00129
0.446116,0.0129,0.00161
0.450782,0.015099999999999999,0.00181
0.4561,0.0193,0.0022299999999999998
0.46074400000000004,0.0234,0.00305
0.46074400000000004,0.023200000000000002,0.00218
0.465586,0.0291,0.00468
0.46608499999999997,0.030000000000000002,0.0033699999999999997
0.47070999999999996,0.0376,0.00438
0.47070999999999996,0.037700000000000004,0.0033799999999999998
0.475572,0.0443,0.00643
0.480678,0.056100000000000004,0.0067599999999999995
0.480678,0.0564,0.00483
0.48556099999999996,0.06609999999999999,0.007659999999999999
0.48606,0.0693,0.00785
0.490649,0.0855,0.00943
0.490649,0.0828,0.006520000000000001
0.49555000000000005,0.0883,0.0104
0.500622,0.11,0.0115
0.500622,0.11299999999999999,0.008879999999999999
0.505541,0.122,0.0143
0.510599,0.135,0.014
0.510599,0.14100000000000001,0.011300000000000001
0.515534,0.159,0.018600000000000002
0.520577,0.154,0.0153
0.520577,0.159,0.012799999999999999
0.5255270000000001,0.147,0.0174
0.530558,0.158,0.0162
0.530558,0.163,0.0132
0.535522,0.161,0.0185
0.5360220000000001,0.17,0.0168
0.540541,0.15100000000000002,0.0153
0.540541,0.158,0.012799999999999999
0.5455180000000001,0.155,0.018000000000000002
0.550526,0.13899999999999998,0.0143
0.550526,0.147,0.011899999999999999
0.555515,0.146,0.0171
0.560513,0.132,0.013600000000000001
0.560513,0.13899999999999998,0.0112
0.565513,0.134,0.0159
0.570501,0.129,0.013699999999999999
0.570501,0.133,0.0109
0.575511,0.124,0.0141
0.580492,0.11699999999999999,0.0124
0.580492,0.124,0.01
0.5824900000000001,0.125,0.00946
0.5844880000000001,0.122,0.00989
0.585011,0.133,0.0166
0.586011,0.125,0.0144
0.586487,0.12300000000000001,0.01
0.587011,0.128,0.0161
0.587511,0.122,0.0138
0.588485,0.127,0.0103
0.589011,0.126,0.0153
0.590484,0.12000000000000001,0.0129
0.590484,0.124,0.0101
0.591011,0.127,0.0149
0.591511,0.128,0.0143
0.592482,0.127,0.0103
0.593011,0.11900000000000001,0.0146
0.594481,0.128,0.0103
0.595012,0.122,0.0153
0.5955119999999999,0.126,0.013900000000000001
0.5995119999999999,0.131,0.0157
0.600477,0.134,0.0134
0.600477,0.134,0.0121
0.601012,0.136,0.0176
0.602476,0.14100000000000001,0.013900000000000001
0.603013,0.14400000000000002,0.018000000000000002
0.6035130000000001,0.146,0.0178
0.604475,0.152,0.0166
0.605013,0.156,0.0208
0.6055130000000001,0.16,0.0223
0.606013,0.165,0.0195
0.6064740000000001,0.17,0.0204
0.607013,0.177,0.0244
0.6075130000000001,0.184,0.0252
0.6084729999999999,0.202,0.0248
